"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
102001,"United States",0,180700,181300,181300,181000,180900,180900,180900,181000,181500,182500,183600,184400,185200,185800,186100,186800,187600,188300,189000,190100,191300,192500,194100,195000,194800,194400,195700,198000,199700,200400,201600,202900,204200,205500,207100,208800,210300,211900,213400,214500,215700,217100,218600,220200,221800,223500,225500,227600,229600,231700,233300,234800,236400,238300,240100,241800,243900,246200,248200,250000,252100,254100,255700,257000,258500,260200,261900,263700,265500,266900,267600,268600,270500,272600,274600,276900,279600,282300,284900,287500,289900,292300,295100,298100,300700,303500,306700,310000,313000,315900,318700,321800,325500,329500,333500,337400,341600,346300,351000,355700,360100,364600,369100,373600,377400,381100,385700,390900,395600,400200,405100,409900,414500,419300,423600,427500,430800,433700,436100,438200,440200,441600,442600,443200,443200,442600,441700,440500,439300,438500,438000,437400,436600,435300,433300,430800,428100,425300,422500,419300,415500,411800,407900,403200,398300,393900,389500,385600,382200,379200,376400,373900,371500,369300,367200,365000,362200,359000,355900,353700,352400,351200,350400,350200,350200,349600,348800,348000,347500,347100,346200,344600,343000,341400,339600,337900,336300,334700,333200,331800,330400,329400,328600,327600,327000,326600,325900,325400,325500,325800,326100,326300,326700,327900,329600,330900,331800,333100,334600,335700,336800,338100,340000,341900,343900,346500,350100,353600,356700,359300,361900,364600,367300,369700,371500,374600,379200,382800,384600,386200,387300,388200,389300,390300,391100,391700,393400,395300,396600,397900,399100,400000,401000,402300,403400,404800,406300,408000,409300
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617700,624300,629600,635100,637700,640500,647300,656800,663800,670200,676000,681400,685800,690000,694600,699900,702700,704100,706800,710600,713700,716600,718200,718200,717700,716600,715400,714300,711100,707600,706400,706900,706600,706400,705500,704000,702500,701900,701700,701900,699900,696400,693900,692800,690700,687800,685100,682800,679900,676200,672500,668100,664000,660300,656100,650600,645500,641100,637300,634300,632200,631000,630300,630200,629900,629700,630100,629900,628800,628300,628800,629100,629000,628400,627100,625300,623800,622400,621000,619400,616800,613800,612000,611200,610300,609500,608100,606400,605400,604800,603800,602900,602100,602000,602500,603300,604500,606100,607500,608800,609500,610600,613200,616000,617700,619800,623400,627400,631200,635100,639900,644900,649900,654500,657700,663600,676200,687300,691500,693600,696300,697900,700200,703000,705200,707000,710300,713400,714100,714400,715300,716500,719000,722100,724700,728300,731600,734000,736200
753899,"Los Angeles-Long Beach-Anaheim, CA",2,294800,295700,294800,293600,293300,293800,294000,294500,296000,298700,301100,303200,305200,306900,307500,308300,309700,311800,314300,317100,320200,323700,328600,330000,328200,327700,335800,346900,354400,356900,360400,363900,366900,369100,371200,374300,377600,381200,384000,385600,386900,389500,392600,395700,399200,403200,406900,410000,413300,417100,419600,421200,423400,426700,429600,433600,438100,443000,448000,453100,457200,459500,460500,462100,464700,467600,470800,475000,479800,484300,488700,493700,499700,506400,513000,520000,528400,538300,547800,555800,563300,571400,579600,587500,595400,602800,609300,616700,625800,635700,646500,658700,671500,684300,697300,711900,729100,747500,765700,781800,794300,803600,811100,816900,821600,826900,832900,839100,846800,857600,870100,881700,891400,899900,908100,916200,923000,928000,933400,939200,942700,943200,943100,942100,940400,938500,935800,931700,926700,922700,920500,920000,919200,915600,909600,904000,899000,892300,884700,878200,872300,865000,855800,844000,831400,820400,810100,799700,791300,785300,780400,775100,770800,768600,766000,762000,757700,754300,753300,754900,757400,760300,762800,764200,764900,764700,764200,762800,760400,757200,753500,748700,744300,740400,737400,735000,733500,730600,726500,722500,719600,716100,712300,709300,707500,706900,706300,705700,705000,705400,706800,708600,711200,715700,721100,726900,732600,738200,744100,751000,759100,768300,779500,793300,806700,819100,832600,845000,852800,857900,863900,871200,877200,880800,883900,890600,898600,903600,904200,903000,902100,901900,902300,902400,901600,901700,905800,911100,915700,918300,920400,923800,929500,935800,942000,948800,956200,965100,973100
394463,"Chicago, IL",3,219500,219900,220100,220000,219900,219900,220000,220300,220900,222200,223500,224100,224300,224600,225000,225300,225800,226700,227600,228200,228900,230000,231300,232300,233300,233900,234300,234700,235300,236200,237800,239700,241400,242700,244000,245500,247300,248800,250100,251800,253600,255200,257100,259200,261100,263100,265100,267000,268600,270500,272500,274400,276300,278400,280500,282600,285100,287900,290100,291800,293700,295800,297700,299800,301900,304400,306800,308700,310600,312700,314500,316100,317500,318600,319800,321500,323500,325700,327800,329600,331500,333600,336000,338400,341100,344600,349400,353200,355300,355500,354800,354500,355900,358000,360100,362000,364300,366300,367700,369400,371800,374200,376600,380200,381000,379300,379700,383100,385800,388000,390000,392200,394500,396900,399500,401900,404500,407000,408900,410100,411600,412900,413600,414000,414300,414900,415700,416200,416100,416300,416500,416100,415000,413600,412300,411000,409700,408400,407100,405200,403400,402100,400700,398400,395700,393100,390000,386500,383400,381200,379200,376500,374500,373400,371700,368900,366700,364400,361800,359700,358100,356800,355700,354800,353900,352800,351100,349600,348200,346700,345300,344000,342200,339700,336900,334600,332400,330400,328600,326800,324400,322200,320400,318700,317300,315800,314000,312400,311300,310000,308600,307900,307800,307700,308000,308700,309400,309400,309400,309700,310700,311600,312500,313700,315800,318600,322000,325500,328800,331900,335200,338100,340100,342000,344300,346200,347800,349400,350800,351700,352300,353100,353800,354400,354400,353700,353400,353600,354100,354900,355600,355700,355500,355400,355400,355500,355900,356400,356800
394514,"Dallas-Fort Worth, TX",4,171600,171900,171900,171700,171200,170000,170000,170100,168800,167800,168500,169000,169400,169900,170600,171300,172000,173200,174200,174900,175600,176700,177500,178000,177900,178000,178400,179200,180100,180800,181400,182200,183300,184600,185600,186500,187500,188800,190100,191300,192500,193600,194200,195100,196500,197600,197700,197900,198000,198500,198800,198600,198400,198600,199000,199700,200300,201000,202400,204400,206300,207600,208800,209700,210600,211500,212300,213000,213800,214600,215000,215300,215500,215800,216200,217000,217700,218200,218800,219400,219900,220400,220700,220700,220600,220500,220700,221100,221400,221600,221700,221800,222200,223400,225000,226800,228700,230400,231500,232500,234000,235300,236400,237500,238400,238900,239500,240400,241200,241900,242800,243800,244900,246000,246900,247800,248700,249800,250900,251800,252500,253400,254600,255700,256400,257000,257900,258900,259700,260600,261300,262100,262900,263500,264100,264800,265500,266400,267300,268100,268400,267700,266200,264700,263600,262900,262200,261300,260100,259000,258000,257100,256400,255800,255300,254600,253500,252200,251100,250600,250400,250400,250400,250100,249900,250100,250600,250800,250800,250600,250400,250000,249800,249700,249700,249500,249100,248800,248500,248000,247600,247200,246600,246000,245700,245800,245900,245800,245900,246300,246700,247000,247700,249100,250500,251400,252200,252900,253300,254100,255500,256800,258400,260400,262300,264000,265800,267800,269800,271500,271900,271800,272400,273800,274400,276600,281000,285200,287600,289600,291400,292800,295900,300500,304100,306300,309800,313700,317500,321600,326000,329500,332200,334500,336400,338300,340700,343700,346200
394974,"Philadelphia, PA",5,181700,181800,181900,182000,181900,181800,181700,181800,182100,182700,183400,183900,184200,184300,184300,184400,184500,184800,185300,185900,186400,187300,188600,189800,190600,191000,191300,191400,191300,191400,191900,192600,193400,194500,195500,196500,197400,198200,199100,200500,202100,203800,205000,206000,207100,208400,209800,211100,212300,213500,214800,216300,217600,218800,220200,221800,223100,224500,226300,228000,229700,231600,233500,235300,237200,239200,241100,242700,244700,246800,248800,250900,252900,255200,257800,260500,263100,266000,269000,272100,275300,278600,281400,283900,286900,290000,292600,295500,298500,301700,304800,308000,311000,313600,316400,319600,323000,326600,330300,333700,337100,340200,343300,346600,350000,352900,355900,358800,361900,365200,368800,372300,375800,379200,382300,385300,388100,390400,392200,394100,396000,397000,397600,398500,399300,399200,398500,397500,396800,396600,396900,396800,396300,395800,395200,394200,393000,392000,391300,390600,389500,388100,386600,385100,384000,383200,382400,381400,380200,379200,377800,375900,374300,373400,372700,371900,370400,368700,367200,365900,364400,363300,363100,363300,362900,361900,360800,359900,359400,358900,357700,356300,354600,352900,351500,350400,349500,348900,348100,346800,345400,344100,342700,341300,340200,339200,338300,337500,336900,336300,335800,335500,334800,333600,332900,333100,333600,333700,333200,332900,333200,333500,333900,334400,335200,336400,338000,339900,341800,343800,345700,347900,349900,351700,352900,354600,357300,360200,362100,363200,363800,364300,364500,364100,363500,363300,363700,364000,364000,363800,363900,364100,364600,365200,365700,366000,366400,366900,367300
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267500,267400,270100,274100,275800,274000,271100,267700,264500,262300,263200,262100,259400,259800,261700,261200,261900,263100,263400,263000,262300,262000,263200,265400,267200,267800,267400,267700,268000,267500,267500,269800,272600,274000,275000,278200,282000,284400,285200,286400,287800,289200,290600,293100,295600,297900,299600,302400,305000,305900,306800,309100,311700,314900,318400,321100,324100,327300,329400,330500,332300,334500,336100,336700,337000,337800,338400,338700,338700,339400,340200,340600
395209,"Washington, DC",7,254500,254200,253900,253400,253000,253000,253400,253700,254200,254900,255800,256200,255900,255500,255100,254900,255000,255100,255500,256500,257900,259600,260900,261900,262600,263200,263600,264200,264900,266100,267500,268800,270000,271800,273600,275200,276600,278500,281000,283600,285900,288100,289900,292200,294900,297800,301000,304000,307000,310400,313900,317400,321100,324900,328600,332300,336200,340400,344600,348700,353400,357900,362500,367200,371800,375700,379300,382800,386100,389400,393200,397100,400800,404600,409000,413500,418100,422900,427400,431900,436700,441600,446000,450400,454600,458200,461700,465700,470400,475600,481500,487600,493800,500700,508200,516400,525300,535200,545200,555500,566000,576600,586900,597400,607500,617300,627100,637200,647500,657400,666600,674700,680700,685200,689200,692400,694000,694600,694700,693500,690800,687300,682500,677000,671500,666900,662900,659300,656200,653900,651900,650200,648900,647000,644100,640600,636500,632700,629300,625400,620900,616700,611900,606400,600700,595300,590200,586300,583200,579900,576100,572500,569100,565700,562700,560000,557500,555700,554400,554100,554600,555700,557100,559100,560600,561100,561100,561000,561400,562800,564400,565500,566200,566100,565400,564500,564100,563900,563900,564000,564200,564200,564600,565500,566700,567300,567200,566900,567100,567700,568600,569700,570900,572500,574800,576900,578300,578900,579600,581200,583300,585200,587500,590300,594000,598000,603100,609000,614700,620200,625300,629600,633500,637200,639900,642200,644300,645900,646200,645100,643300,642300,642200,642000,641900,642700,644700,646600,647000,646600,645000,641600,639000,638800,639200,639400,639900,641000,642100
394856,"Miami-Fort Lauderdale, FL",8,176700,177000,176900,176500,176300,176000,175900,176000,176400,177300,178100,178400,178500,178400,178500,178700,179000,179800,181000,181900,182200,182900,183800,184300,184400,184700,185000,185300,185600,185900,186600,187600,188400,189100,190000,191300,192400,193600,194800,195800,196300,196700,197500,198500,199800,201700,203600,205300,207100,208900,210600,212000,213100,214200,215700,217500,219600,221900,224500,227500,230500,233200,235400,237600,239700,242400,245500,248300,251400,255100,259400,263100,266300,268600,271500,276500,283800,289600,292400,294700,297000,298500,299600,300800,302400,304700,307500,310100,312700,315900,319600,323500,327600,332100,336300,340700,346000,352400,359600,366600,373100,380000,387500,395200,402700,410700,419300,429300,440200,451100,461500,471900,481900,490600,498800,506800,513100,518200,523200,527500,530800,533200,533900,533000,531300,530000,529400,529400,527900,524600,521000,517400,513000,507800,501900,495800,489500,483300,476500,469800,462900,455300,446100,436100,425700,415800,407000,399300,391500,383000,374100,365100,358100,354500,351600,347100,342500,339000,336100,333200,330800,329800,329700,329800,330200,330300,329800,329200,328900,328500,327900,327100,326000,324000,322000,320500,319300,317800,316800,316700,316800,316800,316400,316100,315800,315800,315800,316300,317400,318600,320100,322700,326000,328900,331200,333300,336000,338500,340700,342900,345200,347800,351200,354800,358300,361500,364900,368400,371800,376800,382800,387300,390200,392900,395300,397600,399900,402300,405000,407000,408700,410500,412800,415000,416300,417300,419000,420600,422100,424400,427000,429800,432700,435000,436900,439300,442100,444100,445300
394347,"Atlanta, GA",9,183600,183500,183300,183000,182900,183200,183700,184300,185100,185900,186800,187900,188900,189600,190000,190700,191300,192200,193200,194100,195000,196200,197400,198600,199600,200600,201900,203400,204800,206200,207900,209500,210800,212200,213800,215500,217400,219200,220900,222800,224700,226500,228100,229600,231300,232900,234500,236100,238000,239700,241600,243500,244600,245300,246100,247000,247900,248900,249900,250700,251300,252200,253100,254000,255000,256100,256900,257700,258500,259300,260200,261000,261900,263100,264000,264900,265700,266300,266700,267200,267800,268400,269200,269700,270200,270800,271300,271600,272400,273400,274300,275100,276000,277000,277800,278900,280100,281000,281700,282600,283500,284400,285600,287300,289200,290900,292500,294200,295800,296900,298000,299300,300800,302400,304400,306300,307900,309400,310900,312200,313300,314500,315900,317300,318600,319500,320000,320600,320900,320200,319500,319700,320500,321100,321400,321600,321800,321800,321500,320700,319800,318900,317600,316200,314600,313200,311700,309900,307400,305000,302300,299100,296500,295700,295200,294000,292300,290400,288700,287300,286600,285700,285100,284400,283400,282300,281700,280900,279900,279000,277800,276100,274300,272700,271400,270100,269000,267500,265500,263800,262100,260600,259400,258400,257400,256900,256300,256200,256600,257100,257000,256800,257300,258000,258500,259200,259800,260400,261300,262300,263200,264300,265700,267400,269300,271800,275200,279000,282300,285400,288600,291700,294500,296700,298400,300500,303200,305300,306700,308200,309900,311000,312200,313700,314900,315400,316700,318600,320000,321400,322800,323900,325100,326500,328000,329700,331200,332800,334000
394404,"Boston, MA",10,254100,254400,255200,256100,256600,257000,257400,258100,259300,261000,263000,265200,267000,268400,269600,271000,272500,274200,276300,278500,281200,284400,287400,290100,292600,295100,297300,300000,302900,305500,308000,310500,312600,315100,317900,320700,323800,327300,331200,335300,339600,343700,347600,351900,356100,360300,364800,369500,373700,378600,384200,389600,394800,400200,405400,410700,416300,421500,426400,431300,436400,441500,446100,450000,454100,458200,462200,465500,468000,469900,472000,474500,477500,480700,484100,488000,491800,495900,500600,505300,510000,514600,518100,520600,522700,524800,526600,528500,530400,532400,534800,537900,541400,544600,548500,553000,557400,561800,566100,569900,573600,576700,579500,582400,585700,589500,593400,596900,599900,602100,603700,605200,606300,607000,606900,605900,604300,602800,601500,600800,600100,598000,594300,590300,586500,582900,579800,577400,575500,574100,574300,574600,573900,572400,571000,569600,568500,567700,566700,565400,563600,561300,558100,554700,551600,549300,547500,546500,546200,545500,544200,542300,540100,538100,536100,534100,532700,532400,533100,534300,535200,536000,537000,538100,538900,539400,539200,538200,537600,538000,538900,539400,539100,538600,538200,537700,537500,537300,536300,535400,534600,534000,533500,532600,531900,531600,531500,531600,532500,533700,535000,536200,537800,539600,541900,544700,546800,548200,550100,552500,555400,558300,561100,564600,568900,573300,577900,582700,587700,592300,596100,600300,604900,608800,611700,614300,617700,621400,623400,623700,623200,622700,623200,624100,624000,625400,631600,638800,642800,644600,644600,644200,646800,651600,655200,658100,661500,665200,667800
395057,"San Francisco, CA",11,363900,365500,366000,365200,365000,365900,367000,368800,370900,373300,376400,379200,382300,386500,389800,392100,396100,401000,405600,410700,416400,422400,428200,434200,434200,428800,433600,448800,458300,461100,465200,469100,473200,477800,481900,485100,489600,496200,502500,508000,514800,523600,533600,544800,556500,567900,579600,591900,606400,622400,636700,649200,661700,673400,684000,694700,703800,711000,718600,726100,730500,730700,727300,721900,717200,714000,710800,706200,701800,700500,701200,702000,705800,713700,721600,727900,734200,739600,743300,746700,749600,751500,752600,754300,756600,758700,760700,763500,767500,772300,778100,786500,797300,808500,819600,831500,844100,855800,866300,876600,887900,900800,914200,926000,937400,950500,965000,979300,992100,1002500,1012000,1020900,1028100,1033500,1038300,1042800,1046900,1049000,1047600,1043500,1039400,1036100,1032700,1029000,1026600,1025900,1025800,1024600,1022100,1020500,1021700,1024100,1024600,1025300,1026700,1029800,1032200,1032300,1028800,1024400,1017800,1011000,1005500,1000700,997000,993900,988700,979600,968400,958200,949200,940600,934000,928500,921700,914000,906400,898800,893700,891800,891400,891500,893200,896400,899500,901300,901800,900600,898300,895700,892200,888100,884700,881600,878600,876500,875400,873400,868700,862500,857100,853500,851200,849600,849800,851500,853600,855600,857900,860200,863900,868800,874700,882600,892800,903900,914600,925900,938000,949200,959400,970300,984200,1001000,1019400,1038200,1057800,1075800,1090100,1102100,1113600,1123300,1131900,1141300,1148800,1155600,1164600,1174400,1181500,1186900,1192700,1198300,1203000,1211000,1221300,1232900,1249000,1269600,1290100,1306300,1317300,1327900,1339700,1349000,1357400,1367400,1378700,1389200,1397200
394532,"Detroit, MI",12,193200,193200,193300,194400,191400,185300,182000,182900,183400,184300,185600,187300,188500,189400,190300,190900,191800,193500,195100,196000,196800,197900,199200,200400,201400,202400,203500,204600,206600,208800,210400,211400,212500,213400,214800,215900,216900,218200,219900,221200,223000,225200,226600,227200,228000,229100,230300,231500,232700,233900,234500,235000,236200,237800,238800,239900,241200,242200,242800,243600,244600,245600,246800,247900,248800,249900,251000,251700,252300,252900,253400,253700,253900,254300,255000,256100,257100,257800,258600,259300,259900,260700,261500,262000,262600,263000,263200,264000,264900,265300,265700,266700,267600,268300,269000,269500,270000,270500,271000,271400,271900,272800,273700,274600,275400,276000,276500,277100,277500,278200,278600,278500,278000,277800,277700,277600,277300,276900,276000,275100,274600,274000,272800,271600,270300,268800,267100,265400,263700,262000,260700,259300,257500,255200,253000,250900,248800,246500,244200,241900,239200,235900,232300,229300,226500,223400,219900,216700,213600,210500,207400,204100,201300,199500,198200,195900,193200,190600,188700,187100,186000,185200,184500,183800,183600,183500,183200,183300,183700,184200,184500,184200,183500,183000,182400,181700,180700,180100,180100,180200,179900,179600,179600,179600,179900,180600,181400,182500,183800,185200,186300,187600,188900,190800,193300,196100,198800,201300,203700,206000,208000,209400,210800,212500,214700,217300,220500,224100,227400,230300,233100,235200,236800,238400,239600,240800,243000,245300,246700,247500,248000,248300,248900,250400,251900,252900,254000,255200,256100,256600,256800,257100,257700,258100,258500,259300,260300,261000,261400
395025,"Riverside, CA",13,184300,182700,181500,180600,179900,179600,180100,181000,182600,184100,184800,185000,185300,185300,185500,186100,186900,187900,189400,190900,192800,194900,196700,198400,199600,200300,200700,201100,202100,203700,205300,207100,209200,211100,212500,213900,216200,219200,222200,224900,226800,228200,229300,229500,229200,230400,233000,235400,238100,241300,244700,247100,248300,248500,249500,251300,253200,255200,256900,259100,262100,264600,265900,267600,270400,272900,274500,276000,278100,280600,283700,286900,289400,291500,294100,297900,302700,308000,312700,316500,320200,324600,329500,333900,338500,344400,350600,355600,360300,366200,373400,381700,390600,399000,407200,416600,426900,437400,448200,459200,469700,479100,487600,494500,498800,501500,505600,510700,514800,519000,525700,534100,541400,547400,553900,562400,571800,579400,583900,585900,587000,587300,586100,584000,582200,579800,576600,572800,568100,563500,559600,556200,552000,546500,539700,532800,526200,518900,510600,501700,491700,481200,470900,460200,449800,439800,429400,419500,410600,402200,393700,385000,377700,373000,368900,364700,361000,357700,355500,353700,351800,350300,350200,350800,351800,352800,353800,354400,354800,354800,353600,351000,348800,347800,347000,346300,345800,344400,342500,340500,338400,336500,334800,333100,331300,329500,328500,328300,328300,328600,329200,330100,331500,333100,335200,337900,340400,342600,345500,348900,352600,357400,362900,368600,374600,381300,388900,397400,405600,413700,419800,423600,427200,430800,433300,436300,440400,444200,446800,447800,448400,448900,449500,450600,451900,452500,452900,453400,453800,454400,455200,456000,457000,458100,459500,461400,462800,462800,462300
394976,"Phoenix, AZ",14,172300,172000,171700,171600,172100,172700,173100,173400,174600,175900,176700,177300,178000,179100,180100,180900,181700,182700,183900,184900,185600,186900,188400,189500,190400,191700,192500,193100,193500,194000,194400,195200,196700,198800,200800,202600,204300,205700,207200,208500,209700,210500,211000,211700,213000,214400,215700,217400,219300,220900,222500,223800,224600,225200,226100,227300,228600,229700,230700,231600,232300,233000,233800,234500,235200,236000,237100,237700,238000,239000,240400,241600,242700,243500,244100,245000,246000,247200,248900,251300,253600,255300,256300,256700,257400,258800,260700,262300,263700,265000,266800,269000,270900,272700,275100,278200,281700,285500,289800,295000,302000,310700,319200,326400,333500,341800,352100,364700,378200,391400,404700,418400,431000,441300,449700,457700,464400,468700,471000,472100,471800,471100,470600,469900,468600,466400,464000,462400,460400,457900,454600,450900,447300,444100,441000,438500,435900,432100,428400,424900,420200,413800,406800,399800,393100,386800,379600,372200,365000,358600,352200,345000,339300,336400,333200,327700,322000,316900,312500,309000,306500,304800,303400,301900,300600,299500,298400,297100,295800,294300,292100,288500,284000,279500,275600,272600,270500,269900,271100,272800,272900,272200,271700,271400,271500,272500,274000,276300,279500,282900,285800,289400,293400,297800,302500,307600,312600,318200,323800,327700,329900,331100,332800,336500,342900,349600,355100,358900,361900,362400,361500,361400,362200,361700,360900,360600,360800,360900,360500,360100,359800,360200,361800,364400,366700,368700,370200,370600,370300,370300,370900,372200,374300,377000,379800,382100,383800,384700,384900
395078,"Seattle, WA",15,235200,235500,236200,236700,237100,237900,239200,240700,242100,243800,245800,247900,250000,251800,253300,255400,258100,260300,262100,264300,267000,269500,271900,274000,275700,277600,280300,283600,286900,290000,292400,294100,295900,298100,300500,302700,304400,306200,308800,311400,313700,316200,319200,322700,326300,329400,331900,334000,336000,338400,340500,341800,342600,343600,344500,345300,346400,348100,350100,351900,353800,355700,357200,358300,359300,360100,361200,362700,363300,363500,363800,364400,365300,366200,366700,367300,368400,370000,372100,373900,375600,377300,379600,382300,384600,386200,388000,390100,392400,394500,396500,398700,401900,406000,410100,414200,417900,421200,424700,429100,433800,437900,442200,447200,452400,457300,462300,468500,475700,483300,491100,499100,506500,513900,520800,527300,533800,540000,545500,551000,557700,565100,571700,577100,582500,587800,592500,596300,600200,604200,607900,610300,612300,614700,616800,617500,617500,616900,615900,613800,610900,607100,602900,598400,593800,588500,582700,577300,572200,567000,561700,556500,551800,548100,544700,540300,534800,529400,524900,521700,519000,517000,515600,514600,513400,512500,511300,509200,506400,504000,501200,497900,495400,493600,491600,489600,488100,486100,483400,480500,477400,474300,471900,469900,467900,466900,466900,467000,466600,466400,468200,471400,474800,478300,482300,486400,490400,493600,497300,501700,506400,510800,515300,519400,524600,530900,537700,544200,550000,555000,560000,564400,568200,571300,573600,576800,581000,584200,586000,588000,590500,592500,594600,597800,600900,603600,606200,612200,620200,627200,632100,637700,641500,644000,645700,647900,650700,654100,657100
394865,"Minneapolis-St Paul, MN",16,177100,177800,178600,179100,179200,179300,179500,179500,180100,181300,182400,183000,183400,183800,184100,184300,184700,185300,186400,187800,189200,190800,192500,193400,193600,193900,194400,195200,196200,197200,198500,200200,201900,203500,205300,207100,208900,211000,213200,215400,217800,220100,222100,224200,226200,228400,231000,233800,236400,239000,241200,243600,246500,249600,252100,254200,256300,258700,261400,264200,266700,268900,271200,273500,275800,278000,279900,281500,283300,285000,286500,288200,290200,292300,294700,297300,299700,302000,304600,307000,309200,311500,313800,315800,317800,320200,322600,324800,327000,329200,331400,333500,335600,337700,339700,341500,343300,345600,348100,350800,353100,354800,356800,359100,361300,363100,365000,367300,369600,371600,373200,374600,375800,376800,378000,378800,379100,379600,380500,381400,382200,382600,382300,381800,381400,381100,380900,380700,380300,380200,380100,380100,379500,378100,376000,374200,372200,369900,366500,363900,363000,361700,358600,354700,351500,349300,347700,345700,343400,340900,339000,337100,334800,332200,330500,329100,327700,326000,324300,322800,321800,321200,320900,320400,319300,318100,316900,315700,314300,313000,311700,310200,308200,306000,303900,301900,299800,298100,296500,294500,292500,290300,288200,286700,285900,285400,285000,284700,284600,285200,286400,287900,289700,292100,294700,297100,299300,301800,304200,306100,307800,309600,311500,313000,314000,315300,317900,321300,324500,327300,329800,331700,333100,334100,334500,335400,337400,339200,340200,341100,341900,342500,343300,344200,344700,345200,346800,348800,349800,350200,349900,349100,348800,349400,349800,350700,352500,354200,355000
395056,"San Diego, CA",17,269500,267400,266400,265800,264700,264100,264200,264500,265300,266600,267500,268400,269800,272100,274300,275900,277900,281100,284500,287500,290500,294200,298200,302100,306100,310000,313300,317100,322200,326400,330000,334300,338300,340500,342400,344500,346600,348800,351300,353700,356000,357800,359300,361700,366000,371300,376600,382100,388100,394100,399800,405700,411700,417300,422600,426900,430400,434100,439000,445000,450000,453700,456500,459500,462500,465200,467700,471700,477000,482300,485500,487400,490900,496200,503100,511100,519000,527000,535400,543600,550900,557200,563400,570000,574600,577600,581500,587700,595300,604700,616200,627300,637500,649900,664200,678400,695300,714400,732600,747500,758600,766800,772800,776700,779100,782500,788500,794400,797500,799000,800700,801700,803400,805100,806500,807600,807800,806900,805100,803700,803100,802400,798100,792600,788800,785500,780700,777600,775900,773500,771100,768800,765400,762100,760100,758500,756000,752300,748600,746400,742400,734900,724400,713400,703100,694500,687300,680200,671600,664000,658500,651500,647200,648200,649100,646800,644500,642400,641500,642400,645700,649900,653200,655900,658100,659000,660000,661400,662300,662800,662000,659200,654900,649000,642800,638000,633000,627700,623500,621200,619000,616200,613100,610700,610100,610900,612000,611800,611500,611800,614300,617300,620500,624900,630300,635100,639700,644800,650000,655600,661700,668100,674600,682700,692300,701100,709300,717900,726100,731600,736100,740700,746200,750300,752400,755400,760200,763200,763700,764000,764100,764800,766800,770500,774400,777800,781800,785600,787800,788800,789900,791700,793900,797900,804000,810100,814300,817800,820600
