"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,207200,206300,205200,204100,203400,203300,203500,203800,204300,205400,206700,207600,208100,208400,208600,209100,209800,210700,211600,213000,214900,217100,219200,221200,223400,225500,227100,228500,230400,232800,235400,237700,239400,240700,242200,243600,244800,246600,249100,251200,252300,253300,254600,256500,258800,261400,263900,266000,268000,270000,271900,273900,275800,277500,279100,281000,283300,286200,289500,292300,294500,296400,298200,300300,302800,305500,308400,311600,314900,318500,322400,326800,331200,335700,340600,346200,351900,357500,363400,369300,374900,380500,385800,390800,395800,400700,406000,412200,419100,426300,434200,442700,451200,459400,467800,477700,490000,503900,518200,530900,541500,549700,555800,561000,566700,572500,578600,586000,594300,603100,611600,620300,630100,640100,649200,657600,664400,668800,671700,673300,673600,673500,674000,674600,674200,672900,671000,667800,663800,661400,660400,659200,657300,654400,649500,643500,637500,631900,626600,620900,614000,606300,598400,589200,578400,567700,557700,547600,538000,530200,523500,516900,511300,507900,504800,501300,498500,496200,494400,494000,494500,495200,496200,497700,499800,500900,501400,502000,502700,501700,499500,496600,494200,491300,488300,485900,484500,482800,480000,476000,472100,468700,465700,463100,460900,458900,457400,456200,454600,453700,454300,455500,457000,459400,462300,465600,468600,471700,475200,479700,484600,489700,495700,503800,512600,521300,530300,538900,546800,554100,560600,566700,572300,576900,580000,582800,585800,588600,590000,590900,591900,592800,593900,595600,597200,598900,602100,606100,609300,611700,614100,616000,617500,618800,620400,622000,624500,627400,629600
139,"Cook","IL","Chicago","17","031",2,190100,189800,189400,189100,188500,188200,187900,187900,188100,188800,189800,190600,191000,191400,191600,191500,191300,191400,192000,192500,192600,193000,193900,194800,195600,196300,196700,197200,197700,198200,199300,200600,201500,202400,203700,204900,206300,208200,209600,210600,212100,214500,217000,219600,222000,224100,225900,227300,228700,229700,230200,231300,233500,236100,238200,240000,242000,243700,245300,247000,249500,251700,253500,255200,257400,260200,263300,265700,267700,270000,271900,273400,274200,273900,274500,276700,279100,280300,281800,283500,285600,287200,289800,293200,296300,301200,308100,313200,315600,316200,314700,313800,314800,316600,318100,319800,322200,325000,327600,330200,332600,335200,338300,341800,345400,348400,351000,353300,355300,357200,359800,362600,365300,368400,371600,373900,375500,377400,379100,380900,383000,384900,385800,386600,387500,388500,389800,390500,389800,389300,389600,389500,388400,386900,384400,382000,379900,378400,377500,376700,375400,373600,371700,369400,367000,363700,359600,355800,353500,351300,349000,346600,345500,345700,345500,343300,341100,339100,336700,334300,332300,330900,330100,329700,329000,327300,324100,321400,319500,318200,316900,315800,313800,310700,307500,305400,303000,299400,297700,297600,295800,292900,290500,287900,285700,283700,280800,278300,276900,275600,274000,273000,272900,272400,272200,272900,273600,273500,273700,273800,274000,275300,277100,278500,280200,283200,287000,290600,293100,295700,298800,300400,301200,303200,305200,306500,308500,311200,313000,314400,315600,316900,318100,319000,319300,318600,317100,315400,315100,316000,317300,317900,318500,319100,319500,319900,320100,319700,319200
1090,"Harris","TX","Houston","48","201",3,109300,108700,108400,108300,108200,108100,108200,108700,109500,110500,111600,112400,113100,113700,114500,115200,115200,115200,115600,115700,115500,115600,116100,116400,116700,117200,117900,118900,120100,121200,121900,122600,123300,124200,125300,126800,128300,129500,130500,131300,132300,133200,133800,134200,134800,134700,133400,132100,131700,132100,132300,132300,132200,132500,133100,133900,134400,134100,133500,132800,132600,132800,132900,132800,133100,133300,133300,133700,134600,135000,135100,135500,135700,135500,136000,137000,137700,138500,139600,140200,140100,140300,140700,141100,141300,141400,141300,141300,141600,141800,141800,141600,142400,144500,147500,150300,153000,155300,156700,157500,158300,159200,159900,160500,160900,161400,162000,162800,163500,163800,164000,164200,164600,164900,165100,165100,164900,164900,165300,166000,166900,167500,168300,169400,169900,169600,169500,170000,170800,171700,172400,173000,173500,173600,174000,174200,174400,174500,174800,175500,176000,174600,172000,169400,166800,164600,163600,163200,164300,166400,168200,170000,172600,174900,176800,179200,181700,183500,183800,183200,183200,183100,182800,182500,181100,177800,175400,175100,174900,176300,178100,177600,175200,174500,174400,173500,171700,173100,172900,169100,167100,167800,167900,169600,171500,171800,171800,171100,169800,170700,173300,175800,177100,176800,177100,178500,178900,177900,177500,178600,179800,180300,182100,184400,185200,184800,185000,185300,186300,187700,189200,190200,192000,192700,193700,194700,194900,193900,193800,194100,194800,195600,196300,197200,199100,200800,201800,203800,206800,208900,210300,211100,211600,211700,211300,211300,212200,212800,212800
2402,"Maricopa","AZ","Phoenix","04","013",4,131000,130900,131100,131500,132100,132700,133000,133200,133900,135300,136100,136300,136900,138000,139000,139400,139600,140100,141000,141900,142900,144200,145400,146000,146400,147300,148300,148700,148800,149200,149600,150200,151200,152600,153700,154700,155600,156800,157600,158200,159300,160300,160800,161700,162800,163600,165200,167900,169800,170200,170500,170900,171500,172000,172300,172300,172800,174000,175400,176000,176000,176200,176700,177100,177100,176800,177100,177800,179100,180600,181800,183000,184600,185800,187400,189700,191600,193300,196200,198700,200200,200800,201100,201700,202600,203900,204800,204500,203600,203100,203100,203800,205200,206900,208800,211000,213100,215500,218100,222900,230200,237600,243400,249200,254100,258800,265000,273000,282500,293300,304800,315800,325500,334400,342100,348200,352700,355600,357100,358000,358500,358500,357900,357700,357400,355500,353700,352500,350500,347500,344200,340900,337900,335100,332100,328900,325900,323200,320300,316600,312300,307200,301600,295400,289200,283700,278300,272200,265800,259800,254600,249500,246500,245900,245000,242300,239000,235000,231100,227700,225200,223100,220600,218100,215800,213900,211400,208400,205200,201800,198200,194300,190100,186200,183400,181300,179300,178400,179300,180800,181100,180600,180000,179000,178300,178900,180400,182600,185400,187500,189700,192800,195800,199000,203100,208100,213100,218100,222400,225400,227600,230000,232100,235300,240600,246800,252300,256400,259700,260500,260200,260800,261800,261200,260200,259600,259500,259300,259100,259400,259900,260600,261400,262600,263800,264800,265800,266600,267000,267600,268600,269800,271400,273700,276000,278100,279900,281200,281800
2841,"San Diego","CA","San Diego","06","073",5,209500,208400,206900,205500,204700,204400,204600,205200,206000,207300,208700,209600,210300,211400,212700,213800,214700,216200,218000,219600,221400,223600,226100,228400,230700,233500,236900,240700,244100,246300,248400,250900,253000,254300,256000,257800,259800,261800,263900,265800,267900,270200,272700,275600,279300,283500,287500,291000,294000,297300,300800,304400,307600,311100,314400,317700,320700,324000,327500,332200,336500,339600,342200,345500,348900,352400,355300,358000,361500,365300,368300,370700,374600,380100,386500,392800,399100,405500,412500,419700,426400,432600,438200,442900,446900,450500,453900,458400,465300,473700,482700,491600,501100,511900,524400,538100,553100,568500,584200,599000,610300,617400,622500,627000,630700,633800,636400,639200,641100,642100,642600,643500,644900,647100,649300,650000,649400,648800,648700,648600,648500,647400,644600,640300,635400,630500,625900,622500,619800,617400,615400,613200,610300,607500,604500,601000,597300,592900,588600,584700,579800,572900,564100,553500,543000,534600,526800,519100,512100,506200,499900,492600,486200,482200,479200,475700,471900,467700,464600,462900,462200,462600,464000,466000,467800,468900,470100,471600,472400,472800,472200,470700,468300,465500,461700,458300,455100,451500,447800,445300,443100,440400,438000,436300,435300,434400,434200,434000,434000,433900,434800,436100,437900,440500,444200,448200,452000,456000,459800,463000,466400,471800,478400,485900,494300,504300,514700,524000,532000,537900,543100,547900,553200,557000,558500,559600,562300,564000,563900,563300,563000,563700,565800,569500,573600,577400,581200,584800,587100,588000,588100,588600,590000,592500,595700,599300,602700,605300,606700
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,291500,294100,296700,299700,302700,305700,307200,306400,306100,308000,310900,313900,316500,319100,322500,326100,329200,332900,335700,337600,340100,344100,347600,351400,355400,359600,363600,367200,370500,373900,375800,377300,380100,383200,385900,389100,393000,396800,400500,403800,407900,413400,419700,426000,433200,441600,450400,458400,465200,472200,479100,485300,491200,497100,502900,508600,515200,523600,533700,545300,557800,570900,584400,598500,614500,632600,651300,667800,679900,687700,693400,697200,699200,700200,702300,706500,712400,718800,726300,735800,745900,755200,764000,772800,780000,786100,790700,794200,795800,795400,792000,787100,782400,777500,771700,766300,761700,758600,757700,757300,754100,748200,741900,737100,730600,721400,712200,704900,699600,693500,683700,671700,661700,652000,642200,634700,631000,628600,624800,619700,615000,609500,603700,599000,594700,591800,591500,591700,592400,594100,595100,594800,594000,593700,593900,593800,593200,592500,590800,586700,581600,578100,576300,574300,571400,567700,564100,560800,557500,553700,549700,546400,543500,541000,538800,537100,536300,536900,537500,538600,540700,543800,547500,552000,556800,561400,565900,570900,577200,584800,593600,603100,613600,624600,635700,645300,652500,657800,665000,671900,675100,677100,680500,683300,684800,685000,684300,683000,681800,681500,682300,683600,685200,688200,693600,698800,702300,705000,706800,708200,710200,713000,716300,720700,725600,729100,731100
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419200,424000,428400,434200,440300,444400,440400,434400,437600,449700,460500,470400,480000,489300,498700,508000,517300,528900,533600,534100,540600,552700,562200,571800,581300,590400,598700,605800,614700,627100,633400,632300,629900,629300,626300,626000,628500,631100,633700,636200,635300,632900,631000,629200,627100,627800,629800,632400,632000,632100,633500,636200,638200,641700,642500,637400,629400,623100,614500,605100,597500,590800,582300,574400,568900,564500,559000,555200,555000,556700,559300,562300,566800,570700,573800,575400,574900,572700,571500,570900,572500,576100,580100,582300,583300,583600,585600,586200,583600,579300,576700,574400,574600,576600,577200,575500,574600,575000,577400,580000,582700,584200,584500,586000,590100,594000,595200,595100,595400,597100,600100,603300,605400,607400,609900,612900,615900,620700,627400,631800,634900,640000,643100,651800,669900,687600,697900,708100,715400,717000,719500,728300,734300,735100,735400,735100,735500,739900,747400,754400,759300,762900,772200,783600,790500,792400,794100
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,146000,145500,145200,144900,144600,144500,144400,144400,144900,145800,146400,146900,146900,146800,146700,146600,146800,147300,147300,147200,147500,148300,149200,149600,150000,150400,150700,150800,151200,151600,152000,152200,152000,152100,152200,152600,153200,153900,154400,154900,155100,155000,155500,156600,157300,158200,159600,160900,161800,162800,163600,164400,164900,165700,166900,168000,168800,170000,171200,172000,173100,174500,176000,177500,179600,181700,183500,185400,187700,189600,191200,193000,195000,196900,199200,202200,205600,209100,212400,215400,218400,221600,224400,226900,229700,233100,236800,240100,242800,245300,248200,252000,255900,259400,263000,266700,270500,274800,279700,284700,289700,294600,299600,304300,309200,314900,321800,329200,337300,345300,352800,360000,367800,375500,382700,389400,395300,400700,406600,413000,419300,424000,427200,430100,433200,435800,438100,439600,440100,440000,440600,441800,442200,441200,439400,438000,436200,433400,429100,424200,419500,414500,407300,398000,387900,377700,367600,358000,348800,339200,329700,320200,311500,303700,295600,286100,277500,271300,266500,261400,257300,255500,254200,252800,251700,250400,249400,248400,247200,245900,244500,243100,241300,238600,236200,234800,233500,232300,231700,231800,231800,231800,231500,230900,229600,229000,229000,229400,229900,231000,232600,234200,235600,237100,238900,241500,244300,245700,246400,247800,249900,252000,254400,257800,261600,264800,267600,270300,272000,274200,277400,280700,283600,286700,288900,290800,293500,296300,298600,300400,302500,304900,307500,309900,311900,312800,313600,315000,317100,319200,321800,325400,328700,331600,334400,336500,338400,340100,341500
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,126700,127500,128100,128600,128900,129100,129600,130300,131000,131800,132700,133500,134100,134600,134500,134300,134300,134700,135400,136400,137400,138300,139500,140700,142000,143300,144700,146300,148200,150100,151300,151900,152400,153300,154400,154800,154600,154300,154400,154600,154800,155000,155400,156400,157800,159200,160300,161000,161400,162200,163700,165200,166300,167000,167300,167400,167700,168300,168700,169200,169900,170600,171300,172300,173100,173500,173800,174800,175700,176300,176900,177500,177700,177400,176700,175900,175400,175300,175800,176000,176100,175900,176100,177400,179500,181800,183700,185500,187200,188900,190100,190800,191200,191600,192300,192800,193300,193900,194600,195300,195900,196500,197100,197300,197300,197400,197500,198100,198800,199300,199500,200000,200400,200600,200900,201700,202400,202900,203200,203500,203800,204200,204400,204600,204600,204700,204800,205100,205900,206900,206900,205300,202900,201300,200400,199400,198400,197400,196100,194700,193300,191800,190500,189500,188500,187300,185900,184100,182900,182400,182100,181700,181600,181500,181600,181500,181700,182000,181600,180900,180400,180100,179800,179400,179200,179500,179700,179800,180000,179800,179300,179200,178800,178000,177100,176500,176100,176000,176100,176400,176600,176500,177200,178200,178900,179500,180500,181500,182400,183200,183900,184400,185300,186900,189200,191300,192900,194300,195500,197000,197400,196800,197300,198700,199500,200500,202300,204400,206200,207300,208400,209700,211200,213100,214800,216200,218300,221100,223900,227000,230300,233100,235300,237100,238400,239800,242000,244600,246400
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416500,422500,425400,426200,428400,434200,434200,429500,431400,441800,450100,456300,463500,471600,479700,489400,499400,509700,512900,512800,516900,526100,532900,541000,548800,556500,565400,575100,583900,591900,593400,590400,591000,597400,602900,607300,609600,609800,609400,610000,610900,611700,608700,601800,596500,595100,595300,595800,596100,596700,597100,594500,591600,591200,589600,585200,580300,575200,567800,560100,553900,549300,546000,542900,538200,532200,526900,522500,519300,518000,518200,517500,516700,516600,516200,515700,516400,517300,518700,521200,524300,525800,524900,524200,524000,522700,521200,521100,521500,521500,520100,518500,517200,516100,514700,513900,512900,511500,511000,511300,511700,512100,512300,511600,511700,512600,513100,513000,513500,515200,515700,516100,518500,521600,524800,528600,532100,535000,540400,547500,554600,560500,566200,571600,576200,580800,585100,588800,592000,596300,602100,607100,609200,610200,612800,616300,618800,621300,625600,631500,636000,639000,641200,644300,649600,655700,661400,666400
2832,"Riverside","CA","Riverside","06","065",11,154700,154000,152900,151900,151000,150200,149500,148900,148900,149900,151000,151300,151000,150700,151000,152200,153500,154400,155200,156200,157800,160400,163000,165200,166800,167600,167900,167800,168100,169200,170900,172700,174200,175300,175800,176500,178100,180800,183500,185400,186400,187800,189300,190300,190900,191600,193100,194500,195800,197000,199000,201400,203500,204500,205600,207800,210100,211800,213600,215600,217100,218400,220200,222200,224400,226000,227200,228500,230600,232900,235700,238800,242300,245500,248200,251200,255400,260400,264600,268400,272700,277300,281500,285100,289000,293600,298500,302900,307300,312900,319400,326400,333600,341200,348600,356900,366400,376700,386600,396000,405000,413600,421700,427100,429700,431600,434400,436900,439300,441800,445400,450000,454600,458600,463400,468600,473600,477600,482000,486500,490100,492200,493000,493000,491800,489500,486500,483200,480200,477900,475500,471900,466800,460900,455100,449700,443900,437000,428700,419700,410700,401700,392600,383100,373500,364300,354200,344700,335800,326600,317900,310700,303000,294600,286200,279900,275300,271200,267400,263800,260400,257900,256500,255600,255800,256700,257300,256700,255900,255500,254400,252400,250900,250500,250500,250900,251400,251300,250700,249900,248800,247100,245400,243800,242300,241000,240300,239600,239400,240000,241100,242000,243100,244600,247200,250500,253000,254900,257100,260000,263200,267100,272100,277500,283000,288900,296000,304600,313500,322100,328600,333100,336800,340500,343800,346900,349500,351800,353400,353500,353400,353800,353800,353700,354300,355400,356700,357800,358600,359300,360400,361400,362700,364600,366600,368100,369200,369700,369700
3250,"San Bernardino","CA","Riverside","06","071",12,138700,138700,138400,138000,137800,137800,137800,137500,137400,137700,138200,138600,138800,139000,139100,139300,139700,140200,140500,140800,141300,142300,143300,143700,144000,144500,144800,145200,145800,146500,147300,148200,149100,150500,152200,153700,154500,155300,156300,157200,157900,158600,159400,160400,161500,162700,164200,165500,166700,167800,169000,169800,170600,171700,172900,174100,175200,176600,178400,180100,181500,183100,184500,185700,186600,187700,189200,191300,193400,195100,196700,198600,200900,203800,207000,210500,214300,218100,221800,225400,229000,232500,235800,239400,243400,247300,251000,255100,260100,266000,272500,279400,286800,294100,301400,308900,316700,325400,335400,346000,355400,362000,367000,372000,377300,382700,388000,393400,399200,405400,411500,418000,424700,431600,438800,445800,451800,456800,461800,466700,469900,471000,470500,469100,467800,466500,465000,463300,460600,457600,455000,453000,450300,446800,442100,436900,431600,425700,418600,410300,401400,393500,385100,374900,364600,355400,346800,338500,330000,321900,314500,307000,300200,294300,288700,283500,279200,275500,272500,270100,267900,266200,265300,265300,266000,266800,267400,268000,268500,268500,267600,266300,265200,264800,264200,263400,262200,260700,259300,257500,255300,253300,251500,249400,247700,246400,245700,245600,245700,245600,246000,246700,247500,248700,250700,253300,255600,257300,259500,262500,265400,268600,272000,276000,280900,285900,291400,298500,305700,312500,317800,321100,324200,327500,330500,333700,337500,341300,344300,345800,347100,347800,348600,350100,351800,353400,355400,357400,359200,360900,362100,363000,364000,365300,366400,368200,370400,372000,372700
445,"Clark","NV","Las Vegas","32","003",13,152000,151500,151000,150300,150300,151000,151100,151400,152000,152500,152800,153000,152700,152400,152500,152400,152000,151800,152000,152200,152400,153000,153600,154000,154300,154600,154900,155500,155900,156200,156600,157000,157200,157700,158300,158700,158700,158700,158600,158700,159000,159500,160200,161500,162700,163500,163800,164000,164300,165100,165900,166900,168100,169100,169900,170900,171800,172600,173500,174200,174900,175600,176100,176800,177900,179200,180300,181300,182500,183700,184800,186000,187000,187900,188900,190000,190800,191900,193400,195100,196600,197900,199700,202300,204800,206500,208300,210900,214100,218200,223100,228700,235200,243300,252500,262800,275500,290400,305900,319900,331000,338700,344400,349100,352300,353700,354700,355800,356600,357600,358900,360400,363000,366100,368900,371000,373200,375500,377400,378800,379600,379600,378600,376800,374600,372400,370500,368600,366400,364200,361600,358300,355000,352000,349100,346000,342200,337500,332900,328300,322800,316400,309800,302500,294600,286400,278600,271600,264800,258200,251400,243500,236300,231000,226300,220500,214200,207800,201300,195400,191100,187900,185600,184300,183600,182900,182100,181200,180300,179100,177700,176000,174100,172400,171000,169800,168700,167200,165100,162700,160600,158800,157000,155800,154700,153500,152200,151400,150700,150300,150300,151100,152100,153400,155300,157500,159700,161900,164100,166400,168700,171000,174300,178200,182200,186500,191400,196300,201400,206300,210800,214200,216600,218300,219700,222000,225200,228300,230300,231500,232300,232900,233500,234700,236200,237300,238400,239400,240400,241900,243700,245300,247400,249600,251200,252300,253600,255000,256100
207,"King","WA","Seattle","53","033",14,206000,205800,205800,206100,206600,207300,208500,209900,211500,213000,214200,215600,217300,219400,221400,223500,225900,228100,229800,231500,233600,235800,238200,240500,242400,244400,247200,250400,253100,255600,257700,259200,260700,262700,265200,267400,269100,271200,273600,275200,276400,278200,281000,284000,286800,289200,291000,292600,294500,296300,297800,299000,299800,300700,301600,302500,303500,305000,306300,307400,308700,310100,311300,312500,314300,315800,316800,317900,318900,319600,320400,321500,323000,324600,325900,327000,327900,328600,329600,330600,331700,333500,335900,338100,339700,340700,341800,343700,345700,347700,349800,352300,355200,358300,361900,365600,369200,372600,375800,379000,382200,385400,389200,393900,398900,403200,407300,412800,418900,424800,430900,437500,444400,451800,458700,464900,470600,476100,480700,485100,490700,497500,504200,510400,516000,520500,524300,528200,532100,535600,539200,542200,544600,546200,547500,547700,547500,546400,544800,541900,538300,534400,530400,525800,520800,515400,510100,505400,501600,498100,493400,487600,482200,478000,474300,469800,464300,459100,455400,452600,449600,447400,446300,445700,445400,445000,443800,442200,440300,438000,435200,432000,429100,426300,423500,421500,420200,418500,416300,413600,411000,408900,407200,405800,404900,404900,405500,406400,406900,407300,408500,410400,412700,416200,420200,423400,426200,429000,432500,436700,441000,445700,450900,455900,461000,467100,473800,479400,483700,488400,493600,497700,501000,504100,506400,509100,513100,516400,518000,519300,521200,523100,525700,529400,532200,534700,537700,544700,553400,559500,562000,566200,570100,572000,572000,572600,574000,576400,579000
791,"Wayne","MI","Detroit","26","163",15,,166500,164700,163500,159700,154500,151300,151200,150700,150900,150900,151200,152600,154600,155700,156000,156400,157500,158900,159800,160600,161900,163500,165100,166400,167200,167600,168600,170500,172700,174300,175200,175900,176700,177300,177900,179000,180800,183000,185300,187800,189700,190700,190900,191500,192000,192100,192300,193100,193700,194100,194500,195500,196900,198200,199200,200500,201800,203000,204400,206100,207700,209100,210200,211100,212200,213300,214000,214700,215500,215800,215900,215800,215600,215700,216500,217600,218400,219500,221200,222500,223200,223800,224100,224800,225800,226500,226900,226900,226700,226500,226400,226600,226900,227200,227400,227500,227600,227700,227900,228800,230100,230900,231400,231800,231700,231700,232100,232000,232200,232700,233000,232900,232700,232300,232000,231800,231800,231400,230800,230100,229500,228600,227800,226900,226100,225800,225700,225600,225300,224100,222700,221300,219000,216300,214100,211800,209000,206300,203500,200700,197800,195400,193500,191500,188900,185600,181800,178500,175600,172900,169900,166400,163400,161900,160400,158200,156200,154800,153100,151100,149400,147900,146400,145600,145500,145600,145400,145200,145000,145000,145100,145000,144400,143800,143400,142700,141600,140600,139600,138800,138400,138200,138000,138200,138600,139200,139800,140500,141500,142300,143300,144700,146200,147900,150000,152100,153900,155300,156700,158200,159600,160700,161500,162700,164800,167600,170600,173600,176500,179300,181400,182800,184100,184600,185300,187400,189800,191000,191800,192400,192700,193500,195100,196600,197100,197400,198100,198300,197900,197800,198800,200500,201800,202500,203400,205000,206500,207300
2049,"Tarrant","TX","Dallas-Fort Worth","48","439",16,,,,,,,,,,138000,137200,137100,137600,138000,138100,138300,138300,138500,138900,139500,140800,141900,142500,143300,143800,144100,144300,144600,145100,146100,146900,147300,147300,147600,148400,149100,149700,150300,151200,152200,153500,154700,155600,156300,157200,158300,159300,159900,159900,159600,159600,159700,159200,158600,158300,158300,158500,159000,159300,158900,159100,160300,161600,162800,164100,165500,166800,168000,168800,169300,169900,170400,170500,170500,170400,170400,170500,170300,170100,170400,171100,171600,171900,172200,172600,172600,172500,173000,173700,174300,175000,175300,175600,176200,177500,179000,180500,181900,182900,183700,184500,185400,186100,186700,187200,187800,188100,188600,189400,190500,191400,191700,191500,191400,191700,192000,192400,193200,194200,195000,195500,195900,196500,197300,198400,199300,199700,200100,200600,200900,201100,201500,202100,202800,203000,202900,202800,202900,203200,203500,203200,202200,200600,198900,197500,196400,195700,194800,193700,192700,191800,191200,190700,190300,189700,188900,188100,187100,186400,186300,186500,186300,186000,185900,185400,185100,185300,185500,185400,185200,184600,184200,183900,183700,183500,183000,182800,182800,182800,182400,181300,180400,180200,180300,180200,180300,180400,180300,180100,180000,180200,180900,181400,181600,181900,182100,182300,182700,183500,184700,186200,187400,188300,189600,191200,192700,194300,196000,197400,198300,198600,198700,199300,199900,200200,201300,203900,206900,208800,210100,211500,213000,214500,216300,218100,220600,224000,227200,230300,233600,235800,237200,238700,240000,241000,242300,243800,245300,246200
3136,"Santa Clara","CA","San Jose","06","085",17,300400,300700,301200,301900,303000,304600,306700,309300,312800,316600,320000,322800,325300,328400,332700,338300,344600,350500,355800,361500,367200,372600,377300,381100,384100,387300,390800,394200,397100,399600,402200,405200,408100,410700,412600,413700,415200,418000,422400,429400,437600,447100,457800,468800,479600,491500,505600,521400,538500,555600,570000,580100,589000,599100,610100,620000,627300,631400,632400,630800,626800,621300,615000,608000,601200,595400,589000,581500,574800,572200,574300,580600,590600,602200,612100,619200,622700,624000,624100,623700,622100,619700,617200,614900,612500,609800,608000,608400,611200,614400,617600,621900,628700,638200,647600,654900,661100,668400,677600,688800,700500,710800,719800,729600,740700,752200,763300,774200,784400,794000,802600,810800,818900,825800,831600,836700,840700,843300,845200,846500,845700,842500,839500,838600,838400,838700,839700,841500,844100,847300,850000,852800,855800,858500,858700,856100,852900,851000,850400,850200,847500,840800,833600,826800,819400,810900,802000,791700,780800,770100,759900,749500,739400,731400,723900,714800,705300,698200,693600,691700,691700,693000,696100,700000,703900,707300,710200,712100,714500,717900,721600,723700,723700,722500,719700,715800,712100,708100,702800,698200,694900,691500,688000,685600,684800,685400,687500,690900,694400,698600,703900,709800,715100,720800,727500,736600,746600,756000,764100,772300,781300,791100,801500,812400,825400,839900,853900,865100,873300,881400,888200,893000,896700,901300,905600,913700,924400,933900,940500,944300,948800,955300,963300,971600,981000,991900,1002800,1011600,1020200,1030800,1043500,1058200,1071000,1079400,1085700,1092200,1098700,1102800,1104900
