"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,272000,271700,271200,271100,271100,271100,271400,272100,273300,275200,276900,278200,279500,280900,282500,284600,286900,289400,292100,295300,298800,302800,307300,309100,310700,314800,320600,324900,328900,332100,335400,338500,341700,344600,347000,349500,352100,354900,358000,361300,364600,368600,373000,377400,382200,387800,393800,400000,406300,412700,418700,424700,430800,437100,443400,450300,456600,462500,468400,474600,479100,481200,481900,482300,482800,483900,484600,485200,486300,488000,490300,493900,498500,504100,510400,517000,523600,530100,536200,541900,547000,552100,557200,561900,566200,570100,574000,579200,585800,593000,601400,611000,621000,631200,641700,652700,665300,679000,693100,706300,717800,727300,735800,743400,750800,758700,767100,775800,784500,793000,800800,808700,816300,823100,828600,833600,837800,840700,842900,844300,844200,842400,839800,836400,832600,828900,825300,821500,817200,813800,811900,810700,809000,806400,803100,799500,795300,790100,784500,779300,773300,765800,756800,746400,736200,727500,719200,710600,702900,696400,690000,683000,677900,675400,672900,668700,664400,661200,660000,660400,661400,662900,665100,667600,669800,670900,671300,671400,671000,669700,667400,664000,660700,657400,654200,651600,648900,645100,640600,636400,632900,629300,625600,622800,621400,620900,620500,620700,621300,622300,624100,626900,630200,634600,640100,646200,652200,658400,664800,671000,677600,685300,694700,705400,716700,728400,740700,751900,760700,767700,773900,779600,784100,787800,790600,794900,800100,804200,805800,806100,806700,808400,811000,814300,817900,821100,826400,833400,839700,844300,849100,854700,860400,865500,870800,876800,883300,890000,895500
54,"Texas",2,130000,130600,132000,132800,133100,133000,134100,138200,143000,145800,146900,147900,148500,148900,149300,150100,151100,151900,152500,152600,152700,153500,154400,154800,155300,156200,156700,157400,158200,159100,159800,160200,160100,160600,161500,162300,163200,164400,165600,166800,167900,168800,169500,170000,170400,170900,171200,171300,171700,172400,173100,173700,174400,175100,175900,176500,176900,177200,177800,178400,179000,179700,180200,180500,180700,181200,181800,182100,182200,182700,182800,182800,183000,183200,183200,183500,184100,184600,185000,185400,185800,186000,186400,186600,186600,187000,187500,187700,187900,188200,188200,188300,188800,190300,192500,194700,196700,198400,199800,201000,202100,203100,204100,204900,205600,206300,207100,208300,209200,209900,210600,211400,212200,213100,214000,214700,215600,216600,217700,218800,220100,221100,222100,223100,224300,225400,226300,227300,228200,229300,230400,231300,232100,233100,234400,235500,236300,237000,237900,239200,239900,238700,236600,235000,233300,231600,230500,230100,230400,231300,232500,233700,234900,236100,237400,238800,239800,240200,240500,241100,241400,241600,241600,241700,241700,241600,241700,241800,241900,242700,243600,243900,243000,241200,239500,238300,237100,237100,236000,234100,234400,235700,235900,236000,237500,238900,238800,237600,237500,238200,239300,240000,240400,241000,241700,242000,242100,242400,243100,244100,244800,245400,246900,248800,250200,251100,252200,253200,254200,255400,256900,258100,259000,260300,261900,263600,264800,265700,266700,268100,269400,270800,272700,275600,278200,280000,282100,284900,287600,290000,292300,293900,295000,296200,297400,298700,300000,301400,302500
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514100,520400,525400,529300,530100,531900,539600,550200,557300,561700,565000,569000,573800,578300,582600,587500,589500,590800,595000,600800,604800,607400,608100,608000,608300,608200,608300,607300,610100,616300,620500,620100,620000,619800,618300,616300,615600,615900,615900,616000,614600,611800,608900,607000,604800,602200,599900,598400,596200,592500,588400,585500,576500,563200,554200,551100,547100,544100,541300,538200,535800,534600,534100,534200,534400,534300,534200,533600,533200,533200,533500,533700,534000,533600,532300,530600,529700,529500,529500,528900,527300,525300,523700,522800,522300,522000,521500,520700,520200,519500,518700,518000,517500,517000,516800,516900,517100,518000,519400,520600,521400,522600,524700,526400,527800,529900,532800,536000,539100,542200,546200,550000,554200,559400,563600,568500,576000,582400,585300,587800,590200,592100,594100,596500,598800,600700,603600,606400,608600,610200,612400,614700,617300,619800,622100,625700,629400,632600,634900
14,"Florida",4,156400,156800,157100,157000,157100,157200,157200,157200,157500,158100,159100,160200,160600,160600,160800,161400,161900,162500,163100,163800,164700,165800,166800,167600,168100,168600,168900,169200,169700,170200,170700,171500,172500,173500,174600,175800,176700,177400,178300,179300,180200,181300,182500,183900,185100,186200,187600,189000,190500,192200,193900,195100,196200,197600,199500,201100,202700,204600,206900,208900,210700,212600,214600,216500,218200,220000,221900,223800,226100,228600,230800,232900,235100,237100,239000,241900,245200,248200,250500,253000,255400,257500,259600,262100,264400,266800,269500,272200,274600,277100,279900,283000,286100,289500,293000,297000,301600,306800,312200,317900,324200,330600,337000,343600,350400,357000,364400,372800,382300,391900,401600,411000,420200,428700,436500,443400,449100,453500,457200,460400,463000,464200,464100,463400,462200,460400,458400,456400,453700,450700,447500,443700,439000,434000,428900,423700,418500,413500,408500,403700,398500,392700,386000,378900,371800,365000,358400,352000,346000,339800,333400,326500,321400,319200,317600,314200,310500,307300,304600,302000,299700,298300,297300,296500,295700,294300,292400,290900,289600,288600,287500,286400,284800,282600,280600,279100,277600,275800,274300,273100,272300,271600,270700,269900,269100,268600,268500,268700,269000,269500,270500,272000,273600,275000,276600,278300,280000,281900,283900,285800,287500,289200,291300,293800,296300,298900,301900,305100,308200,311700,315600,318900,321800,324300,325900,327600,330200,332900,335000,336600,338000,339400,340900,342100,343200,344500,346200,348200,350000,351900,353800,355900,358100,359700,360700,362400,364300,365900,367100
21,"Illinois",5,190300,190200,190400,190600,190600,190900,191400,191700,193100,195400,196900,197200,197700,198300,198700,198900,199100,199500,199800,200200,200600,201300,202200,203100,203700,204500,204900,205400,206200,207300,208800,210300,211300,212200,213300,214400,215900,217200,218200,219700,221300,222900,224700,226500,227900,229400,231100,232600,234100,235800,237500,239200,240600,242000,243400,245000,246700,248300,249900,251800,253800,255400,256700,258300,260300,262300,264300,266300,268000,269400,270700,272100,273600,274700,275900,277500,279400,281400,283400,285000,286700,288300,290300,292600,295000,298000,302200,305700,307600,308300,308100,308300,309300,310700,312400,314000,315800,317800,319700,321500,323500,325900,328500,331400,334500,337500,340100,342500,344900,347000,348800,350700,353000,355300,357700,360100,362200,363900,365700,367600,369000,370000,370700,371100,371500,372000,372400,372400,372100,371900,371800,371400,370600,369600,368400,367100,365500,364000,362800,361600,360100,358700,357300,355200,353200,351100,348600,346400,345100,343600,341600,339300,336800,334500,332400,330000,327700,325400,323400,321700,320100,318700,318200,317800,316900,315700,313800,311900,310300,309200,307900,306400,304500,302300,299800,297600,295900,294000,292200,291000,289200,287000,285000,283000,281200,279200,277000,275300,274100,272800,271600,270900,270600,270500,270600,270700,271000,271200,271400,271500,272000,273000,274200,275500,277300,279800,283000,286200,289200,291900,294600,296800,298700,300900,302800,304300,305800,307200,308200,308900,309500,310100,310900,311200,310900,310000,309400,309200,309300,309700,310100,310200,310000,310000,310200,310600,311000,311700,312400
47,"Pennsylvania",6,149400,149400,149700,149800,150000,150200,150400,150500,150500,150700,151100,151700,152200,152500,152700,153100,153300,153500,153800,154100,154400,155100,155700,156500,157100,157400,157600,157600,157700,157900,158300,159000,160000,161000,161900,162500,163000,163400,163700,164200,164700,165300,165900,166600,167200,168000,168900,169800,170400,171200,172100,172900,173700,174500,175400,176300,177200,177900,178800,179900,181000,182100,183200,184200,185100,186100,186900,187900,189000,190200,191200,192400,193800,195300,197000,198900,200800,202600,204500,206200,208100,210000,212200,214200,216100,217800,219700,221600,223600,225800,228200,230300,232200,234200,236200,237800,239700,242100,244600,247000,249400,251900,254200,256600,258900,261200,263400,265600,267800,270100,272300,274700,277200,279400,281500,283500,285400,287000,288300,289700,291200,292400,293300,294200,295000,295300,295400,295500,295600,296000,296600,297200,297500,297400,297100,296600,295900,295400,295200,294800,294100,293300,292300,291500,290900,290400,289800,289100,288500,287800,286900,286000,285100,284300,283700,283100,282300,281400,280600,280000,279500,279100,278600,278500,278600,278400,278200,278100,278000,277600,277100,276200,275100,273800,272700,271700,270900,270300,269300,267900,266700,265900,264900,264100,263600,263400,263200,263000,263000,263000,262800,262800,262700,262400,262100,262100,262200,261900,261600,261400,261000,260700,260900,261400,261800,262500,263800,265000,265800,267000,268700,270300,271700,273200,274400,275800,277800,279800,281200,282200,283000,283700,284300,284500,284300,284100,284500,284500,284100,284000,284100,284200,284800,285700,285900,285900,286300,286900,287100
44,"Ohio",7,152100,152300,152400,152700,153000,153000,153000,153400,153800,154500,155200,155800,156200,156700,157100,157600,158100,158700,159000,159400,160000,160700,161100,161700,162200,162600,162900,163200,163600,164200,164700,165300,165900,166400,167000,167700,168500,169400,170300,170900,171300,171800,172300,172800,173300,173800,174700,175500,176200,176900,177400,177800,178300,179000,179600,180000,180500,181000,181400,181900,182300,182800,183200,183700,184000,184500,185000,185400,185900,186600,187200,187800,188400,188800,189300,189900,190700,191300,191800,192600,193300,193900,194500,195200,195900,196700,197700,198600,199500,200200,201300,202500,203400,204000,204400,204700,205000,205500,206000,206600,207200,207600,208200,208800,209500,210100,210900,211700,212300,212600,213000,213400,213800,214000,214300,214500,214800,215000,215400,215700,215800,215800,215600,215500,215500,215600,215500,215200,214800,214400,214100,213800,213600,213500,213100,212500,211900,211300,210700,210100,209300,208400,207400,206300,205500,204700,204200,203700,202900,202400,201700,200600,200100,200600,201200,201100,200900,200700,200800,200900,201100,201100,201200,201500,201500,201100,201000,200800,200600,200400,200200,199800,199400,199000,198300,197500,197000,196200,195200,194500,194100,193800,193600,193500,193400,193400,193400,193600,193600,193500,193300,193200,193300,193900,194300,194500,194900,195200,195500,195800,196100,196400,196800,197200,197700,198300,199200,200200,201100,202000,203300,204800,206100,207300,208500,210000,211300,212300,213000,213600,214100,214600,215200,215900,216400,217100,218200,219200,219800,220000,220300,220500,221100,221600,222000,222500,223100,223400,223500
30,"Michigan",8,160400,158100,156800,157100,156500,155200,154700,155300,155900,156400,157200,158300,159500,160600,161600,162500,163300,164100,165000,166000,167100,168000,168900,169600,170800,172100,173200,174100,175200,176500,177400,178000,178800,180000,181300,182500,184000,185600,187000,188100,189300,190600,191600,192500,193600,194700,196000,197200,198700,200200,201500,202600,203700,205000,206400,207500,208600,209600,210500,211400,212300,213500,214900,216300,217200,217800,218500,219300,219900,220600,221200,221800,222400,223000,223900,225000,225900,227100,228200,229100,230000,230800,231300,231800,232200,232800,233400,234100,235000,235900,236700,237400,238400,239100,239700,240200,240800,241300,241600,241700,242500,243700,244700,245600,246400,246900,247500,248300,249000,249400,249700,249800,249600,249200,249100,249200,249000,248400,247900,247700,247500,246800,246100,245400,244800,243800,242800,241800,240500,239000,237400,236200,234900,233500,232000,230700,229300,227700,225900,224100,221900,219200,216500,213900,211500,209300,207000,204800,202500,200200,197900,195200,193800,194400,195400,194800,193600,192300,191300,190300,189600,189400,189300,189200,189100,188600,188300,188400,188700,188900,188900,188600,187900,187400,187000,186600,185800,184900,184100,183400,183100,183000,182800,182600,182500,182600,182600,183000,183600,184100,184500,185300,186400,187600,189400,191300,192700,194000,195600,197100,198800,200400,202000,203600,205100,206800,209100,211800,214500,216500,218200,220100,221700,222900,224100,225000,225600,226500,227400,228100,228900,229400,230000,230800,231300,231500,231600,232100,233000,233800,234000,234300,235100,236000,236800,237600,238600,239500,240200
16,"Georgia",9,165400,165300,165200,164900,164600,164700,165000,165400,166000,166500,167000,168100,169300,170200,170900,171500,172000,173000,174200,174900,175400,176200,177000,177700,178700,179900,180900,181800,182800,183900,185000,186400,187700,189000,190300,191600,193100,194500,195900,197600,199600,201400,202700,203900,205200,206700,208200,209500,210800,212300,214100,215500,216600,217500,218400,219000,219800,220900,221900,223000,224000,224900,225500,226300,227000,227600,228300,229100,230000,230700,231500,232300,233100,233800,234500,235300,235900,236300,237000,238000,238800,239300,240000,240700,241100,241600,242200,243000,243700,244600,245300,246000,246900,248000,249100,250000,250800,251600,252200,253000,254200,255300,256500,257900,259500,260900,262100,263200,264500,265700,267100,268800,270500,272200,273800,275300,276600,277900,279200,280500,281700,282900,284100,284900,285800,286800,287800,288600,288700,288000,287700,288300,289200,289700,290000,290000,289900,289500,288900,288100,287200,286100,284700,283200,281900,280300,278900,277600,275800,273800,271600,269000,267800,268400,269000,268200,267200,266100,265000,263800,262800,262000,261500,261000,260200,259100,258200,257200,256400,255600,254400,252900,251600,250400,249000,247600,246300,244500,242400,240600,239400,238100,237000,236000,235100,234400,233900,233700,233600,233900,234200,234000,233400,233300,233400,233800,234400,234900,235300,235800,236300,236800,237800,239100,240500,242200,244500,247000,249000,250900,253100,255600,257900,259400,260800,262800,265400,267700,269400,270700,272200,273400,274700,275900,276600,276800,277700,279100,279800,280500,281500,282600,283800,285100,286500,288100,289600,291000,292200
36,"North Carolina",10,165700,165600,165800,166200,166500,166400,166700,167200,167900,168600,169500,170500,171600,172800,174000,174900,175600,176500,177600,178400,179200,180200,181400,182300,182800,183400,184100,185000,185900,186900,187600,188200,189000,189900,190800,191700,192500,193200,193600,194300,195300,196100,196800,197800,198400,199000,199800,200800,201500,202600,204000,205100,206000,206900,207900,208600,209400,210800,211900,212200,212700,213200,213400,213800,214400,214700,214900,215300,215700,216100,216700,217400,217700,218000,218600,218900,219300,219700,220400,221000,221700,222500,223100,223900,224700,225600,226400,227200,227900,228600,229500,230700,231900,232800,233500,234400,235400,236600,237900,239200,240500,242100,243700,244800,246000,247500,249000,250700,252700,254600,256100,257900,260000,262100,264400,266800,268900,270600,272300,274200,276000,277700,279300,281000,283000,284800,286200,288000,289300,290300,291500,292700,293500,294200,295100,295600,296000,296100,296000,295800,295500,295200,294700,294400,294100,294100,294100,294000,293300,292300,291200,289800,288800,288800,289000,288400,287600,286800,285800,284700,283900,283100,282400,281700,281100,280000,279000,278200,277200,276000,275100,274000,272900,272000,271100,270000,269000,268200,267100,265800,264700,264100,263300,262500,261900,261700,261400,261300,261200,261400,261600,261800,262000,262300,262700,263200,263500,263500,263600,264000,264500,264800,265100,265500,266100,266700,267600,268700,269700,270600,271500,272600,273700,274800,275700,277100,278900,280600,281800,282500,283100,283500,284300,285000,285200,285000,285400,286000,286600,286800,287000,287700,288500,289100,290000,291200,292000,292900,293600
40,"New Jersey",11,232500,232000,231900,231900,231500,231100,230800,230500,230500,231100,232100,233000,233300,233400,233900,234300,234400,234800,235600,236500,237500,239100,241100,242900,244300,245100,245500,246200,247500,249000,250900,253000,255100,257400,260000,262500,264800,267000,268800,270800,273400,276000,278200,280200,282300,284900,287800,290600,293600,296800,300100,303600,306900,309900,313000,316600,320300,323700,327100,330300,333400,336500,339500,342400,345800,349600,353100,356400,359400,362300,365400,369000,373000,377200,381600,386400,391500,396000,399800,404000,408900,413700,418000,421900,425500,429700,434500,438800,442600,446400,450400,454600,458700,462700,466800,471200,475900,481300,486600,492300,498400,504700,511000,517100,522900,528700,534200,540000,546400,553000,559000,564600,569500,574300,579200,583900,587900,591000,593300,595500,597700,599000,599300,598800,597800,596300,594600,592100,589800,587700,586600,585900,585500,584300,582600,580400,577700,574500,572100,570300,568100,565800,563700,561200,558000,554700,551500,548300,545300,542500,539900,536600,533500,531300,529600,526900,523700,520700,517900,515700,514500,513800,513000,512600,512300,512000,511400,510400,508800,507300,506100,505100,503800,502100,500300,498800,497500,495900,493700,491100,488600,486300,484000,482100,480400,478500,476400,474400,472700,471300,469900,468500,467500,467000,466900,467400,468400,469000,469100,469100,469400,469500,469700,470400,471200,472100,473900,476100,478300,480700,483600,486400,489000,491300,492900,496500,501600,507300,512400,515900,516600,517400,517800,517800,517400,517400,519100,520800,520700,519400,517900,517100,517700,518900,520400,522100,523800,525500,526900
56,"Virginia",12,207400,207400,207000,206600,206400,206300,206200,206000,206100,206700,207500,207800,207600,207700,207600,207500,207900,208600,209300,210300,211200,212300,213800,215000,215500,215900,216200,216600,217200,217900,218600,219800,221100,222500,224000,225300,225900,226600,227900,229500,230800,232000,233300,234600,236300,238400,240500,241900,243700,246100,248600,250900,252900,254800,256800,259100,262000,265100,268000,270900,274000,276800,279700,282700,285700,288700,291600,294300,296800,299300,301900,304700,307800,311000,314200,317500,321000,324400,327600,330800,334000,337100,340200,343200,346300,349100,351800,354900,358500,362400,367100,372100,376800,382000,387900,394300,401000,408000,415200,422900,430800,438700,446600,454700,462700,470400,478200,486400,495000,504000,513100,521700,529400,535700,540400,543900,546400,547600,547900,547700,546800,545200,542700,539300,535600,531900,528200,525100,522400,520100,518200,516500,514700,512100,508700,504900,500700,496900,493300,489000,484100,479400,474800,469800,464700,459400,454500,450300,446600,443100,440000,437000,434400,432800,431600,429700,427600,426200,425400,425100,425000,425100,425700,426300,426700,426600,426200,425700,425700,425900,425800,425400,424600,423600,422600,421800,421500,421000,420100,419100,418500,418300,418000,417900,418200,418700,419000,419600,420500,420800,420900,421300,421700,422300,423300,424300,425200,425700,426400,427500,428800,429800,431000,432800,435200,438000,441600,445700,449700,453300,456300,458800,461200,464300,467000,469400,471900,473700,474300,474400,474300,474300,474700,474800,474400,474100,475200,476800,477200,477200,476700,475600,474700,474500,474300,474400,475100,475900,476200
59,"Washington",13,211400,211200,211100,211200,211500,211800,212400,213200,214400,215700,217000,218400,220100,221700,223200,224800,226600,228100,229400,230900,233000,234900,236700,238400,240100,241700,243400,245700,247800,249800,251400,252800,253800,255300,257400,259300,260800,262200,263700,265100,266600,268300,270100,272000,274200,276400,278300,279800,281200,283000,284800,286100,287000,287500,288200,289200,290400,291200,291900,293100,294500,295800,296700,297700,298900,300200,301800,303200,303900,304700,306100,307000,307400,308000,309100,310300,311700,313100,314500,315700,317000,318700,320400,322100,323800,325400,326900,328200,329700,331800,334000,336100,338800,342000,345300,348700,351900,355300,359000,362800,366300,369900,373900,378300,382900,387300,391600,396700,402600,408600,414700,421300,428000,434200,440000,445700,451300,456400,461100,465700,470900,476300,481700,486700,491400,495400,499200,502900,505800,508500,511300,513800,516100,517900,518900,519400,519500,518700,517100,515000,512400,509300,505800,502200,498400,494300,489700,485300,481900,478800,474800,470500,466600,463600,461200,458400,454700,450700,447200,444200,441500,439300,437800,437000,436100,435100,433400,431200,428600,425900,423100,420000,416900,414300,412100,410000,408300,406800,405000,402600,399800,397100,395200,393400,391800,390800,390400,390400,390100,390000,390700,392300,394000,396000,398400,400800,403100,405000,407100,409400,411900,414300,416900,419400,422400,426400,431200,436200,440900,444800,448000,450700,453500,456300,458000,460700,465200,469100,471200,473000,474900,476200,478100,480800,483000,485000,487600,491900,496800,502400,507000,510200,512600,515800,518700,521600,524600,527600,530100
26,"Massachusetts",14,234700,234600,234800,235000,235300,235600,235800,236200,237100,238500,240200,241700,243000,244400,245700,247100,248600,250200,251800,253800,256300,259200,262100,264500,266600,268700,270700,273000,275200,277600,279900,281900,283600,285900,288300,290900,293900,297200,300800,304400,308200,312300,316200,319900,323700,327800,331900,336100,340300,344900,350000,355200,360100,365000,370000,375400,380800,385500,389800,394200,399100,404000,408400,412400,416500,420400,424500,428300,431100,433000,435500,438500,441400,444600,448400,452700,456900,461000,465300,469700,474500,479300,483400,486500,489200,491500,493700,496000,498000,499900,502800,506100,509500,513000,517200,521900,526500,530700,534600,538500,542900,547200,550700,554400,558100,561900,565600,569200,572500,575300,576900,577700,578500,578900,578700,577500,575600,574100,573000,572500,571900,570400,567900,565000,561800,558600,555900,553500,551400,550200,549900,549200,547900,546200,544600,542900,541300,539800,538400,537100,535900,534100,531200,527600,524300,521900,519800,518500,517800,517000,515500,513300,511300,509700,508000,506100,504600,504400,505500,506900,507600,508200,508700,509300,510000,510200,509500,508700,508300,508200,507900,507200,506200,505300,504800,504300,503700,503200,502500,501800,501100,500000,499400,499100,498900,498500,498700,499000,499300,499500,500000,501200,502800,504500,505800,507200,508600,509900,511200,512700,514600,516800,519500,522600,525700,529100,533300,537800,542100,546000,549800,553800,558300,562100,565000,567200,569800,572500,574600,575100,574400,573800,574200,574800,574600,575300,579400,584700,588200,590000,590400,591200,594700,598900,601900,604700,607600,610700,613100
22,"Indiana",15,129800,132500,133100,133200,133500,133200,132300,132000,131300,130200,129800,129200,127400,126000,126900,129200,131300,132700,134000,135000,135400,135800,137000,138100,138500,138900,139700,140200,140400,140900,141500,142200,142400,142600,143000,143300,143500,144100,144500,144700,145100,145900,146800,147500,147600,147500,148100,149100,149800,150300,150800,151400,152000,152700,153200,153000,156500,163000,166500,166100,166600,167100,167100,167200,167500,167900,168200,168500,168400,168100,168200,168600,168700,168600,168300,168000,167800,168000,168200,168600,168500,168100,168300,169000,169000,168800,169000,169800,170600,171500,172800,174200,174900,174900,175100,175800,176900,178300,179800,181000,181800,182400,183000,183400,183800,184400,185800,187400,188700,189800,190600,190700,190300,190300,190800,191800,192400,192500,192100,191800,191800,192400,193200,194000,194800,195200,195100,194900,194900,194700,194700,195300,195800,196000,196100,196200,196600,196700,196600,196800,197000,197100,197200,197300,197400,197400,197300,197100,196900,196800,196800,196700,196600,196500,196400,196300,196200,195800,195300,195200,195200,195000,194500,193800,193200,192400,191700,191100,190900,190500,189900,189300,189000,189000,189100,189100,189000,189300,188900,187600,186500,186200,185900,185800,185700,185600,185500,185400,185600,185800,186100,186400,186600,187000,187800,188500,188600,188900,189300,189600,189800,190600,192300,194300,196000,197500,198600,198900,199400,199900,199600,199200,199100,199200,199900,199900,198600,197600,197500,197500,197700,198300,199000,200100,201100,201600,201800,202500,203800,204200,204300,205000,205700,205900,206600,207900,208900,209200,209000
8,"Arizona",16,168200,168200,168500,168500,168900,169300,169500,169800,170500,171500,172400,173000,173600,174300,175100,176000,176700,177600,178800,179700,180400,181400,182700,183600,184400,185500,186400,186800,187100,187700,188200,189000,190200,191800,193400,195100,196600,197800,198800,199900,200800,201300,202000,203000,204300,205500,206900,208600,210400,211900,213200,214400,215300,216200,217300,218600,220000,221300,222400,223300,223900,224800,225900,226900,227600,228200,229100,229900,230800,232000,233400,234700,235900,236700,237300,238400,239600,240800,242500,244900,247000,248500,249700,250400,251100,252400,254200,255900,257600,259400,261400,263400,265000,266900,269200,272100,275400,278900,282300,286800,293100,300700,308100,314600,321200,328600,337200,347600,359100,371000,383300,395700,406600,415500,423000,429800,435700,440600,443900,445700,446600,447100,447300,446800,445800,444500,442800,441300,439700,437300,434600,431900,429200,426500,423700,421200,418700,415500,412200,409600,406200,401100,395300,389600,384100,378600,372600,366500,360500,354800,349000,342300,337200,334800,332500,328300,323800,319200,315100,312000,309500,307700,306400,305300,303900,302500,301400,300200,298600,296700,294400,291300,287500,283400,280000,277500,275500,274300,274400,274400,273500,272400,271700,270900,270700,271200,272200,273600,275400,277400,279500,282100,285200,288600,292100,295800,299400,303500,307600,310800,312600,313900,315300,318200,322900,328200,332900,336900,340200,341100,340900,341400,342900,343200,343000,343300,344100,344600,344600,344400,344100,344800,346100,347900,349500,350800,351600,352100,352000,352100,352800,354100,355700,358000,360500,362700,364200,365000,365100
53,"Tennessee",17,136100,136300,136500,136600,136700,137000,137500,137900,138100,138600,139300,139800,140300,141000,141800,142500,143300,144100,144700,145400,146600,148000,149300,150300,151100,151800,152800,153700,154600,155600,156400,157100,157800,158400,159000,159300,159800,160400,160900,161300,161800,162200,162800,163700,164400,165000,165800,166400,166900,167500,168300,169000,169500,169800,170000,170300,170600,171100,171800,172200,172600,172900,173000,173200,173500,173900,174200,174600,175000,175400,175800,176300,176800,177200,177500,177800,178300,178800,179100,179900,180800,181600,182100,182900,183800,184600,185400,186100,186900,187800,188900,189600,190400,191200,191900,192800,193600,194300,195200,196100,196700,197400,198400,199000,199300,199900,200800,201800,203100,204400,205800,207100,208600,210200,211600,213100,214600,215800,216900,218100,219500,221000,222500,224000,225400,226600,227800,229200,230400,231100,232100,233000,233400,233800,234300,234800,235200,235400,235400,235500,235200,234800,234500,234200,233900,233600,233000,232500,232100,231500,230600,229500,229600,231000,232200,232100,231700,231300,231100,230800,230400,230300,230300,230200,229700,229100,228600,228300,228100,227700,227300,226600,226000,225400,224800,224200,223800,223300,222300,221400,221300,221300,221200,221100,221000,220800,221000,221400,221600,221300,221300,221500,221600,221600,221600,221700,222200,222800,223000,223100,223200,223400,223900,224500,224800,225300,226100,227100,228200,229100,230100,231700,233300,234400,235200,236600,238500,240300,241500,242400,243100,244000,244900,245600,245800,246000,246800,247500,248000,248600,249500,250300,251100,252100,253100,253900,254800,255700,256200
