"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
9,"California",1,94200,93300,92500,92000,91800,91700,91400,91400,91300,91400,91600,92000,92200,92500,92500,92700,93200,94100,95000,96100,97200,98200,99000,99900,100700,101100,102000,103200,104100,104600,105500,106100,106600,107000,107800,108900,110100,111200,112300,113400,114500,115900,117500,118900,120300,122000,123800,125400,127000,129100,131400,133600,135800,137400,138900,141000,143300,145600,147800,149800,151600,153400,155200,157000,158600,160300,161800,163300,165400,167900,170300,172600,175200,177900,180400,182600,185000,187600,190800,194300,197500,200200,202900,205700,208400,210700,212900,215800,219700,224000,228300,232400,236600,241100,246400,251900,257600,264000,270500,276100,280700,285100,289500,293300,297000,300900,304300,308000,312300,317000,321500,326300,330800,334400,337000,339400,341500,342800,343900,345200,345900,345000,343900,343000,342100,340900,339500,337400,335200,333500,332200,330400,328300,326200,324300,322100,319500,316800,314200,311300,307600,303100,297900,292400,287100,282400,277600,272300,266800,261300,256300,252100,248600,245200,241600,237900,234500,231200,228500,226200,224300,222300,220400,218900,218000,217300,216600,215800,214600,213000,210900,208800,206600,204800,203300,201700,199900,198000,196100,193900,191400,189000,186900,185000,183600,182600,181600,180900,180400,180100,179900,179900,180400,181400,182800,184300,186100,188200,190200,192100,194400,197500,201500,206200,211200,216600,222700,229100,235300,240500,245300,249500,253200,256300,258700,261500,265600,269200,271000,272200,273500,275000,276700,278700,280400,282300,285000,288200,290400,292100,293900,295700,297700,300300,302500,304500,306800,308900,310300
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140800,142200,144200,146700,146400,145300,147000,150000,150700,150600,150000,149600,150300,152100,154200,156100,155700,154600,155600,158000,159300,160600,161700,163000,164400,165300,165300,165200,165400,166300,167600,169000,170400,171500,172300,172500,172200,172200,172800,173900,173700,172400,171500,171400,170800,169900,168400,166700,166300,166800,166300,165300,164100,163100,162300,162100,162300,161600,160400,160000,159800,159000,158600,158300,157000,155300,154800,155200,155100,154500,154000,153600,153200,152500,151400,150400,150100,149700,148300,146900,146100,145600,145100,144300,143700,143100,142800,142600,142200,141700,141200,140500,139700,139400,139500,139500,139200,138900,138800,139000,139200,139300,139200,139000,138700,138900,139500,140100,140400,140700,141100,141400,141700,142300,142500,143000,144200,145300,145600,145500,145600,146100,146300,146400,146800,147400,148200,148800,149000,149100,149400,149500,149200,148500,147900,148000,148000,148200,148700
14,"Florida",3,45800,45500,45100,44800,44500,44400,44400,44300,44200,44200,44400,44400,44400,44400,44500,44600,44600,44700,44900,45200,45400,45600,45700,45700,45900,46200,46300,46300,46500,46600,46500,46600,46900,47000,47300,47600,47900,48200,48500,48700,48800,49000,49300,49500,49700,50000,50400,50700,51000,51400,51900,52400,52600,52900,53300,53800,54300,54700,55100,55500,56300,57000,57500,57900,58500,58900,59300,60000,60900,61700,62300,63100,63800,64500,65200,66100,67000,68000,68800,69600,70400,71500,72700,73800,74500,75200,76100,77400,78600,79600,80600,81800,82900,83900,85100,86300,87700,89700,91800,93800,96200,99100,102200,104900,107500,110500,113700,117200,120900,124400,128100,132000,136100,139800,143300,146700,149400,151700,153400,155100,156900,158100,158500,158700,158700,158400,158000,157600,156800,155900,155000,154100,153200,151900,150400,148700,147000,145400,144000,142500,140400,137400,134100,130700,127300,124200,121200,117900,114300,110100,105700,100900,97200,94800,92600,89800,87000,84500,82000,79300,77000,75000,73200,72000,70900,69600,68400,67200,65800,64500,63600,62800,62000,61000,60100,59400,58800,58400,58000,57600,57000,56500,56100,55700,55600,55700,56000,56100,55900,56000,56300,56700,57100,57700,58200,58900,59800,60600,61200,61900,62600,63400,64100,64900,66000,66900,68100,69300,70500,71600,73000,74300,75400,76300,77100,78300,79800,81100,82200,83000,83500,84200,84800,85300,85700,86100,86600,87400,88300,89300,90000,90500,91000,91900,93000,94300,95500,96500,97200
21,"Illinois",4,83700,83200,82700,82300,82000,82200,82200,82200,82600,83100,83200,83300,82800,82400,82300,82500,82700,82900,83100,83300,83500,83600,84000,84500,84900,85400,85900,86500,87300,88000,88700,89100,89400,90000,90700,91100,91700,92700,93500,94200,95000,95500,96200,97700,99100,99700,100700,102000,103600,105200,106700,108000,108800,109200,109900,110800,112000,113400,114600,115600,116700,117800,119100,120900,122900,124700,126200,127600,128900,130100,131000,131800,132700,133400,133900,134300,134900,136100,137200,138000,138800,139700,140900,142600,144100,145400,146400,147100,147400,148100,148700,149000,149100,149300,149700,150300,150900,151400,151800,152400,153100,153900,154600,155300,156300,157400,158700,159500,160100,160700,161700,162800,163600,164200,165100,165700,166200,167100,167800,167900,168000,168300,168900,169100,168900,168500,168200,167800,167900,168400,168700,168700,168600,168600,168100,167500,167200,167100,166700,166500,166700,166800,166300,165400,164600,163600,162400,161200,160200,159100,157900,156600,154000,150000,146100,143400,141200,139500,138100,137100,136300,135400,134600,133800,133000,132500,132000,131200,130000,129000,128000,126500,125100,123700,122000,120000,118000,116300,115000,114100,112500,110200,108100,106600,105100,103100,100900,99100,97900,96900,96000,95600,95300,94800,94000,93000,92000,91200,90800,90700,90800,91200,91600,91500,91800,92900,94100,95200,96200,97300,99100,101000,102300,103300,104000,104600,105500,106600,107200,108000,108900,109800,110300,110700,111200,111400,111400,111500,111700,112100,112900,113500,113700,113900,114200,114500,115100,115800,116200
47,"Pennsylvania",5,62300,61500,61000,60500,60300,59900,59700,59400,59100,59100,59300,59400,59300,59300,59300,59200,59100,59100,59300,59500,59600,60000,60100,60200,60500,60800,60700,60800,61000,61200,61100,61300,61700,61900,62100,62200,62100,62000,62100,62500,62900,63400,63700,64000,64300,64600,64700,65000,65300,65600,66000,66300,66200,66200,66500,66700,66700,66900,67300,67900,68200,68500,68800,69200,69600,70100,70600,71100,71400,71800,72000,72200,72400,72900,73400,74000,74400,74800,75300,75900,76500,77100,77700,78400,79100,79900,80500,80900,81300,82000,82700,83300,84000,84500,85000,85800,86800,87800,88700,89400,90300,91100,91800,92300,93100,94000,95000,95900,97000,98000,98800,100000,101500,102700,103800,104900,105800,106500,107100,107700,108100,108800,109600,110400,110900,111200,111600,112300,112900,113400,113700,113900,114000,114100,114200,114400,114500,114600,114400,114000,113800,113700,113500,113300,113400,113500,113400,113200,113000,113000,113000,112900,113100,113500,113700,113600,113400,113100,112800,112500,112400,112200,112000,112000,111900,111500,111000,110700,110500,110300,110200,109900,109300,108700,108300,108100,107700,107200,106800,106300,105500,104800,104300,103500,102900,102700,102500,101900,101400,100900,100600,100600,100500,100300,100000,99900,99900,99600,99300,99000,98800,98500,98400,98600,99000,99500,99900,100400,100600,100800,101100,101800,102800,103900,105000,105600,105600,105700,105900,106000,106300,106700,107100,107300,107200,107200,107400,107500,107900,108100,108300,108500,109000,109200,109700,110000,110000,109800,109600
44,"Ohio",6,52400,52300,52200,52100,51900,51700,51500,51500,51600,51600,51500,51500,51500,51500,51600,51800,51900,52100,52300,52600,52800,53100,53400,53500,53600,53900,54100,54300,54500,54600,55000,55400,55700,55900,56200,56400,56700,57100,57600,57900,58000,58000,58000,58000,58000,58100,58500,58900,59000,59100,59400,59700,59900,60200,60200,60300,60800,61200,61300,61200,61100,61300,61600,61600,61700,62100,62300,62200,62200,62400,62700,63000,63300,63400,63400,63800,64200,64300,64400,64700,65000,65300,65600,65700,66000,66300,66400,66400,66500,66800,67200,67700,67800,67800,67800,67900,68100,68300,68200,68300,68500,68800,69100,69300,69300,69300,69500,69900,70200,70200,70300,70500,70500,70400,70500,70800,70900,70900,70900,70800,70700,70600,70600,70700,70800,70700,70300,70000,69900,70100,70200,70100,70200,70300,70100,69800,69600,69200,68800,68800,68800,68400,68100,67800,67400,67100,67000,66900,66700,66600,66300,65800,65700,65900,65900,65600,65300,65200,65200,65100,65100,65200,65400,65500,65300,65000,64600,64400,64300,64300,64200,64000,63700,63500,63000,62300,61600,60900,60400,60300,60300,60300,60100,59800,59500,59300,59200,59400,59600,59600,59400,59300,59400,59400,59300,59400,59600,59800,59800,59600,59400,59300,59400,59300,59400,59700,59900,60300,60700,61000,61400,62100,62600,63100,63700,63900,63300,62700,62600,62600,62500,62400,62500,62800,62800,63000,63700,64600,65100,65200,65200,65300,65300,65500,65900,66200,66700,67000,67100
30,"Michigan",7,68200,67000,66300,66100,66200,66500,66500,66400,66400,66100,65700,65800,66400,66900,67400,67900,68200,68500,69000,69300,69500,70000,70800,71600,72200,72500,72700,73000,73200,73700,74300,74900,75200,75600,75900,76200,76700,77300,77900,78300,78400,78600,79500,80100,80400,80800,81500,82300,83000,83700,84400,84800,85100,85500,85600,85900,86500,87100,87300,87800,88300,89100,89900,90800,91400,91900,92100,92400,92800,93000,93300,93500,93900,94400,94900,95500,96300,97000,97600,98100,98700,99500,99700,99900,100100,100200,100200,100400,100500,100500,100700,101400,101900,102200,102700,103100,103200,103100,103100,103400,103900,104200,104200,104200,104400,104500,104600,104800,105200,105800,106000,106000,106000,106100,106200,106300,106200,106100,105800,105500,105400,105000,104400,103900,103600,103200,102800,102300,101800,101400,100900,100200,99300,98600,98000,97600,96900,96000,95100,94300,93400,92400,91500,90500,89300,88100,86700,85200,84100,83000,81700,80300,79100,77800,76400,74800,73600,72600,71900,71200,70200,69000,68300,67600,66500,65800,65600,65400,65100,64900,64400,63600,62900,62200,61700,61400,61100,60700,60400,60400,60100,59500,59000,58400,57800,57700,57700,57700,57900,58100,58000,58000,58500,59300,60100,60800,61400,62200,62700,63000,63200,63700,64400,65100,65800,66700,67700,68800,70100,71400,72600,73700,74600,75500,76100,76300,76200,76000,76100,76600,76800,76900,77200,77500,77400,77600,78100,78700,79200,79600,79900,80500,81400,82100,82300,82500,83400,84200,84300
16,"Georgia",8,75600,76200,76000,75600,75500,75300,74700,74100,74100,74300,74900,75700,76700,77900,78900,79600,80000,80200,80300,80500,81000,81700,82200,82600,83500,84300,85300,86300,87400,88900,90200,91100,92100,93400,94900,96000,96500,97600,99400,101300,103100,104900,106500,108200,110000,111300,112400,113200,114000,114700,115500,116800,118300,119300,120500,122000,123300,124600,125800,126600,126700,126600,126600,126400,125900,126100,126800,127400,127400,127300,127300,127700,128400,129000,129300,129400,129700,130200,130600,130500,130300,130200,130600,131000,131500,132100,132400,132300,132100,131600,131000,131100,131500,131700,131700,132300,132700,133000,133300,134000,134600,134700,134900,135200,135500,136100,136700,137000,137000,136600,136500,137000,137800,138300,138700,138800,139000,139400,139700,139700,139700,140100,140300,140200,140300,140900,141600,142200,142600,142600,142500,142500,142400,142400,142500,142200,141800,141600,141500,141400,140700,139600,138400,137300,136600,136200,135600,134700,133400,132000,130500,129200,128300,127600,126700,125300,123700,122100,121000,120000,119500,118600,117400,116300,115300,114600,113900,112800,111700,110900,109900,108700,107300,106000,104600,103000,101300,99600,98200,97600,97200,95700,93900,92100,90400,89200,88300,87200,86400,86100,85600,84900,84300,83800,83600,84000,84400,84500,84800,85300,85800,86500,87100,87800,88900,90100,91300,92800,94500,95600,96900,98500,99600,100500,101700,103000,104500,106100,107500,108300,109200,110100,110900,111900,113100,113700,114600,115800,116200,116900,118400,119800,120500,121600,123200,124700,125500,126400,127400
36,"North Carolina",9,57900,58400,58800,59000,59300,59400,59500,59400,59100,59200,59700,60200,60700,61000,61400,61700,62200,62600,62900,63400,64300,65200,66000,66400,66400,66600,67000,67400,67700,68000,68300,68700,69000,69300,69500,69700,69800,69700,69800,70300,70500,70600,70800,71100,71200,71300,71300,71500,71800,72200,72500,72700,73100,73600,74000,74300,74600,75100,75600,75800,75700,75700,75900,75900,76100,76500,77000,77300,77400,77400,77600,78100,78700,79000,79200,79600,79900,79900,79800,79600,79700,80000,80500,80800,81300,82100,82600,82600,82600,82700,82700,83200,84000,84600,84900,85000,85300,85500,85600,86000,86800,87200,87400,87600,87800,88400,89200,89800,90100,90300,90800,91500,92000,93100,94600,96000,97300,98100,98500,99500,100500,101800,103100,103900,104700,105500,106300,107300,108000,108300,108700,108900,108700,109300,110500,111600,112100,112600,113200,113200,112500,111900,112000,112600,113200,113500,113600,113800,113900,113800,113200,112600,113300,114700,115000,114300,113800,112900,111900,111500,111300,110900,110500,110000,109200,108300,107700,107300,106900,106300,105700,105100,104400,103800,103300,102700,101900,101200,100800,100400,99900,99200,98300,97300,96700,96300,96100,95900,96200,96500,96500,96600,96800,97000,96800,96500,96400,96600,96500,96300,96100,96300,96500,96300,95900,96100,96700,97200,97500,97400,97500,98300,98900,98800,98600,98800,99500,100500,100900,100900,101000,101200,101300,101200,101000,100900,101500,102600,103200,103000,102900,103500,104000,104200,104500,104700,104700,104900,105000
40,"New Jersey",10,91200,88700,87000,85500,84400,83700,83300,82800,82500,82800,83500,84100,84400,84300,84200,84500,84900,84700,84400,84500,85000,85100,85500,86300,86800,87000,87500,88000,88200,88500,89200,89700,89900,90400,90600,90600,91300,92400,93100,93900,94800,95700,96300,96800,97300,97700,98400,99600,101100,102600,104100,105000,105500,106100,107200,108600,110100,111300,111800,112600,113800,115200,116000,116800,118000,120100,121800,123100,124300,125600,126500,127900,129700,131400,133300,135800,138200,139900,141000,142300,144100,146100,148300,150400,152200,153600,155600,158100,160300,161800,163900,166700,169400,171800,173900,175800,177700,179700,181900,184200,186500,189500,192900,196300,198800,201100,204400,207600,210400,213700,217100,220400,223900,227300,230200,233300,236100,238400,240600,243100,245500,247400,248700,249200,249300,249100,248500,247400,246400,245900,245400,244900,244900,245100,244400,242700,241200,240200,239100,238100,237300,236600,235900,234800,233400,232200,231100,230100,228900,227500,226200,224500,223400,222800,221600,219800,218200,216500,215100,213900,213100,212400,211600,211000,210600,210300,209600,209000,208200,207700,207400,207000,205800,204200,202300,200300,198300,196500,194600,192700,190600,188300,186100,184600,183900,183500,183100,182600,181800,180600,179800,179500,179200,179000,179000,179100,178900,178000,176900,176700,176800,176700,176600,176900,176800,176600,177000,177600,177800,179200,181200,182600,183700,184600,185000,184500,184800,185000,183900,182500,183000,183000,182000,180800,179800,179500,179900,180600,180700,181100,181700,182000,181600,181300,181700,182500,182500,182200,182300
